Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso",Total viviendas ocupadas con personas presentes,Total,Energía electrica SI,Energía electrica NO,Total.1,Acueducto SI,Acueducto NO,Total.2,Alcantarillado SI,Alcantarillado NO,Total.3,Gas natural conectado a red pública SI,Gas natural conectado a red pública NO,Gas natural conectado a red pública NA,Total.4,Recolección de basuras SI,Recolección de basuras NO,Total.5,Internet SI,Internet NO,Internet NA
05_Antioquia,021_Alejandría,Total municipal,1371.0,1371.0,1356.0,15.0,1371.0,1003.0,368.0,1371.0,802.0,569.0,1371.0,35.0,1329.0,7.0,1371.0,816.0,555.0,1371.0,186.0,1178.0,7.0
05_Antioquia,021_Alejandría,Cabecera,810.0,810.0,804.0,6.0,810.0,806.0,4.0,810.0,799.0,11.0,810.0,32.0,772.0,6.0,810.0,802.0,8.0,810.0,184.0,620.0,6.0
05_Antioquia,021_Alejandría,Rural disperso,561.0,561.0,552.0,9.0,561.0,197.0,364.0,561.0,3.0,558.0,561.0,3.0,557.0,1.0,561.0,14.0,547.0,561.0,2.0,558.0,1.0
05_Antioquia,030_Amagá,Total municipal,8725.0,8725.0,8613.0,112.0,8725.0,8339.0,386.0,8725.0,8092.0,633.0,8725.0,4441.0,4269.0,15.0,8725.0,7315.0,1410.0,8725.0,2174.0,6536.0,15.0
05_Antioquia,030_Amagá,Cabecera,4220.0,4220.0,4199.0,21.0,4220.0,4178.0,42.0,4220.0,4150.0,70.0,4220.0,3353.0,855.0,12.0,4220.0,4192.0,28.0,4220.0,1715.0,2493.0,12.0
05_Antioquia,030_Amagá,Centro poblado,2612.0,2612.0,2556.0,56.0,2612.0,2518.0,94.0,2612.0,2461.0,151.0,2612.0,945.0,1665.0,2.0,2612.0,2353.0,259.0,2612.0,337.0,2273.0,2.0
05_Antioquia,030_Amagá,Rural disperso,1893.0,1893.0,1858.0,35.0,1893.0,1643.0,250.0,1893.0,1481.0,412.0,1893.0,143.0,1749.0,1.0,1893.0,770.0,1123.0,1893.0,122.0,1770.0,1.0
05_Antioquia,031_Amalfi,Total municipal,6570.0,6570.0,5919.0,651.0,6570.0,3877.0,2693.0,6570.0,3715.0,2855.0,6570.0,2220.0,4336.0,14.0,6570.0,4151.0,2419.0,6570.0,1421.0,5135.0,14.0
05_Antioquia,031_Amalfi,Cabecera,3803.0,3803.0,3784.0,19.0,3803.0,3714.0,89.0,3803.0,3658.0,145.0,3803.0,2208.0,1584.0,11.0,3803.0,3771.0,32.0,3803.0,1406.0,2386.0,11.0
05_Antioquia,031_Amalfi,Centro poblado,65.0,65.0,63.0,2.0,65.0,17.0,48.0,65.0,19.0,46.0,65.0,0.0,65.0,0.0,65.0,56.0,9.0,65.0,1.0,64.0,0.0
05_Antioquia,031_Amalfi,Rural disperso,2702.0,2702.0,2072.0,630.0,2702.0,146.0,2556.0,2702.0,38.0,2664.0,2702.0,12.0,2687.0,3.0,2702.0,324.0,2378.0,2702.0,14.0,2685.0,3.0
05_Antioquia,034_Andes,Total municipal,12078.0,12078.0,11943.0,135.0,12078.0,8220.0,3858.0,12078.0,6547.0,5531.0,12078.0,1653.0,10391.0,34.0,12078.0,8569.0,3509.0,12078.0,2401.0,9643.0,34.0
05_Antioquia,034_Andes,Cabecera,6123.0,6123.0,6107.0,16.0,6123.0,6032.0,91.0,6123.0,5646.0,477.0,6123.0,1588.0,4511.0,24.0,6123.0,6064.0,59.0,6123.0,2054.0,4045.0,24.0
05_Antioquia,034_Andes,Centro poblado,1131.0,1131.0,1126.0,5.0,1131.0,985.0,146.0,1131.0,698.0,433.0,1131.0,20.0,1106.0,5.0,1131.0,1079.0,52.0,1131.0,163.0,963.0,5.0
05_Antioquia,034_Andes,Rural disperso,4824.0,4824.0,4710.0,114.0,4824.0,1203.0,3621.0,4824.0,203.0,4621.0,4824.0,45.0,4774.0,5.0,4824.0,1426.0,3398.0,4824.0,184.0,4635.0,5.0
05_Antioquia,036_Angelópolis,Total municipal,1716.0,1716.0,1690.0,26.0,1716.0,1520.0,196.0,1716.0,1103.0,613.0,1716.0,599.0,1113.0,4.0,1716.0,1388.0,328.0,1716.0,638.0,1074.0,4.0
05_Antioquia,036_Angelópolis,Cabecera,703.0,703.0,696.0,7.0,703.0,697.0,6.0,703.0,656.0,47.0,703.0,444.0,256.0,3.0,703.0,700.0,3.0,703.0,336.0,364.0,3.0
05_Antioquia,036_Angelópolis,Centro poblado,322.0,322.0,314.0,8.0,322.0,313.0,9.0,322.0,242.0,80.0,322.0,103.0,219.0,0.0,322.0,317.0,5.0,322.0,98.0,224.0,0.0
05_Antioquia,036_Angelópolis,Rural disperso,691.0,691.0,680.0,11.0,691.0,510.0,181.0,691.0,205.0,486.0,691.0,52.0,638.0,1.0,691.0,371.0,320.0,691.0,204.0,486.0,1.0
05_Antioquia,038_Angostura,Total municipal,3134.0,3134.0,3072.0,62.0,3134.0,2331.0,803.0,3134.0,764.0,2370.0,3134.0,15.0,3107.0,12.0,3134.0,967.0,2167.0,3134.0,269.0,2853.0,12.0
05_Antioquia,038_Angostura,Cabecera,835.0,835.0,831.0,4.0,835.0,818.0,17.0,835.0,747.0,88.0,835.0,13.0,811.0,11.0,835.0,803.0,32.0,835.0,225.0,599.0,11.0
05_Antioquia,038_Angostura,Centro poblado,123.0,123.0,123.0,0.0,123.0,122.0,1.0,123.0,8.0,115.0,123.0,1.0,122.0,0.0,123.0,75.0,48.0,123.0,27.0,96.0,0.0
05_Antioquia,038_Angostura,Rural disperso,2176.0,2176.0,2118.0,58.0,2176.0,1391.0,785.0,2176.0,9.0,2167.0,2176.0,1.0,2174.0,1.0,2176.0,89.0,2087.0,2176.0,17.0,2158.0,1.0
05_Antioquia,040_Anorí,Total municipal,4597.0,4597.0,4069.0,528.0,4597.0,2395.0,2202.0,4597.0,1839.0,2758.0,4597.0,30.0,4526.0,41.0,4597.0,2533.0,2064.0,4597.0,468.0,4088.0,41.0
05_Antioquia,040_Anorí,Cabecera,2220.0,2220.0,2139.0,81.0,2220.0,2008.0,212.0,2220.0,1751.0,469.0,2220.0,26.0,2166.0,28.0,2220.0,2192.0,28.0,2220.0,459.0,1733.0,28.0
05_Antioquia,040_Anorí,Centro poblado,189.0,189.0,185.0,4.0,189.0,74.0,115.0,189.0,32.0,157.0,189.0,0.0,188.0,1.0,189.0,128.0,61.0,189.0,1.0,187.0,1.0
05_Antioquia,040_Anorí,Rural disperso,2188.0,2188.0,1745.0,443.0,2188.0,313.0,1875.0,2188.0,56.0,2132.0,2188.0,4.0,2172.0,12.0,2188.0,213.0,1975.0,2188.0,8.0,2168.0,12.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,7702.0,7702.0,7567.0,135.0,7702.0,6988.0,714.0,7702.0,5596.0,2106.0,7702.0,2762.0,4917.0,23.0,7702.0,5731.0,1971.0,7702.0,2245.0,5434.0,23.0
05_Antioquia,042_Santa Fé De Antioquia,Cabecera,5331.0,5331.0,5262.0,69.0,5331.0,5293.0,38.0,5331.0,5248.0,83.0,5331.0,2691.0,2618.0,22.0,5331.0,5293.0,38.0,5331.0,2126.0,3183.0,22.0
05_Antioquia,042_Santa Fé De Antioquia,Centro poblado,206.0,206.0,199.0,7.0,206.0,177.0,29.0,206.0,103.0,103.0,206.0,9.0,197.0,0.0,206.0,127.0,79.0,206.0,30.0,176.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Rural disperso,2165.0,2165.0,2106.0,59.0,2165.0,1518.0,647.0,2165.0,245.0,1920.0,2165.0,62.0,2102.0,1.0,2165.0,311.0,1854.0,2165.0,89.0,2075.0,1.0
05_Antioquia,044_Anzá,Total municipal,2096.0,2096.0,2021.0,75.0,2096.0,1561.0,535.0,2096.0,720.0,1376.0,2096.0,12.0,2080.0,4.0,2096.0,730.0,1366.0,2096.0,69.0,2023.0,4.0
05_Antioquia,044_Anzá,Cabecera,456.0,456.0,454.0,2.0,456.0,453.0,3.0,456.0,447.0,9.0,456.0,10.0,444.0,2.0,456.0,453.0,3.0,456.0,60.0,394.0,2.0
05_Antioquia,044_Anzá,Centro poblado,253.0,253.0,248.0,5.0,253.0,249.0,4.0,253.0,190.0,63.0,253.0,1.0,252.0,0.0,253.0,192.0,61.0,253.0,7.0,246.0,0.0
05_Antioquia,044_Anzá,Rural disperso,1387.0,1387.0,1319.0,68.0,1387.0,859.0,528.0,1387.0,83.0,1304.0,1387.0,1.0,1384.0,2.0,1387.0,85.0,1302.0,1387.0,2.0,1383.0,2.0
05_Antioquia,045_Apartadó,Total municipal,34590.0,34590.0,34374.0,216.0,34590.0,31850.0,2740.0,34590.0,30669.0,3921.0,34590.0,17704.0,16654.0,232.0,34590.0,33050.0,1540.0,34590.0,14311.0,20046.0,233.0
05_Antioquia,045_Apartadó,Cabecera,28287.0,28287.0,28192.0,95.0,28287.0,27493.0,794.0,28287.0,27253.0,1034.0,28287.0,16502.0,11571.0,214.0,28287.0,28126.0,161.0,28287.0,13246.0,14826.0,215.0
05_Antioquia,045_Apartadó,Centro poblado,3985.0,3985.0,3956.0,29.0,3985.0,3458.0,527.0,3985.0,2982.0,1003.0,3985.0,954.0,3022.0,9.0,3985.0,3906.0,79.0,3985.0,825.0,3151.0,9.0
05_Antioquia,045_Apartadó,Rural disperso,2318.0,2318.0,2226.0,92.0,2318.0,899.0,1419.0,2318.0,434.0,1884.0,2318.0,248.0,2061.0,9.0,2318.0,1018.0,1300.0,2318.0,240.0,2069.0,9.0
05_Antioquia,051_Arboletes,Total municipal,7273.0,7273.0,7169.0,104.0,7273.0,4343.0,2930.0,7273.0,2585.0,4688.0,7273.0,1633.0,5634.0,6.0,7273.0,3172.0,4101.0,7273.0,634.0,6633.0,6.0
05_Antioquia,051_Arboletes,Cabecera,2818.0,2818.0,2791.0,27.0,2818.0,2740.0,78.0,2818.0,2541.0,277.0,2818.0,1614.0,1198.0,6.0,2818.0,2740.0,78.0,2818.0,444.0,2368.0,6.0
05_Antioquia,051_Arboletes,Centro poblado,727.0,727.0,716.0,11.0,727.0,589.0,138.0,727.0,8.0,719.0,727.0,5.0,722.0,0.0,727.0,7.0,720.0,727.0,16.0,711.0,0.0
05_Antioquia,051_Arboletes,Rural disperso,3728.0,3728.0,3662.0,66.0,3728.0,1014.0,2714.0,3728.0,36.0,3692.0,3728.0,14.0,3714.0,0.0,3728.0,425.0,3303.0,3728.0,174.0,3554.0,0.0
05_Antioquia,055_Argelia,Total municipal,2245.0,2245.0,2196.0,49.0,2245.0,1501.0,744.0,2245.0,960.0,1285.0,2245.0,21.0,2211.0,13.0,2245.0,1085.0,1160.0,2245.0,177.0,2055.0,13.0
05_Antioquia,055_Argelia,Cabecera,1110.0,1110.0,1099.0,11.0,1110.0,1021.0,89.0,1110.0,954.0,156.0,1110.0,20.0,1077.0,13.0,1110.0,1078.0,32.0,1110.0,176.0,921.0,13.0
05_Antioquia,055_Argelia,Rural disperso,1135.0,1135.0,1097.0,38.0,1135.0,480.0,655.0,1135.0,6.0,1129.0,1135.0,1.0,1134.0,0.0,1135.0,7.0,1128.0,1135.0,1.0,1134.0,0.0
05_Antioquia,059_Armenia,Total municipal,1373.0,1373.0,1347.0,26.0,1373.0,1006.0,367.0,1373.0,666.0,707.0,1373.0,22.0,1335.0,16.0,1373.0,945.0,428.0,1373.0,107.0,1250.0,16.0
05_Antioquia,059_Armenia,Cabecera,512.0,512.0,510.0,2.0,512.0,509.0,3.0,512.0,489.0,23.0,512.0,16.0,483.0,13.0,512.0,508.0,4.0,512.0,99.0,400.0,13.0
05_Antioquia,059_Armenia,Centro poblado,75.0,75.0,73.0,2.0,75.0,67.0,8.0,75.0,50.0,25.0,75.0,0.0,73.0,2.0,75.0,75.0,0.0,75.0,3.0,70.0,2.0
05_Antioquia,059_Armenia,Rural disperso,786.0,786.0,764.0,22.0,786.0,430.0,356.0,786.0,127.0,659.0,786.0,6.0,779.0,1.0,786.0,362.0,424.0,786.0,5.0,780.0,1.0
05_Antioquia,079_Barbosa,Total municipal,15915.0,15915.0,15833.0,82.0,15915.0,11551.0,4364.0,15915.0,8440.0,7475.0,15915.0,6015.0,9867.0,33.0,15915.0,12441.0,3474.0,15915.0,5057.0,10825.0,33.0
05_Antioquia,079_Barbosa,Cabecera,7204.0,7204.0,7171.0,33.0,7204.0,6881.0,323.0,7204.0,6745.0,459.0,7204.0,5620.0,1557.0,27.0,7204.0,7057.0,147.0,7204.0,3743.0,3434.0,27.0
05_Antioquia,079_Barbosa,Centro poblado,1906.0,1906.0,1894.0,12.0,1906.0,1425.0,481.0,1906.0,614.0,1292.0,1906.0,251.0,1654.0,1.0,1906.0,1812.0,94.0,1906.0,504.0,1401.0,1.0
05_Antioquia,079_Barbosa,Rural disperso,6805.0,6805.0,6768.0,37.0,6805.0,3245.0,3560.0,6805.0,1081.0,5724.0,6805.0,144.0,6656.0,5.0,6805.0,3572.0,3233.0,6805.0,810.0,5990.0,5.0
05_Antioquia,086_Belmira,Total municipal,1542.0,1542.0,1519.0,23.0,1542.0,893.0,649.0,1542.0,594.0,948.0,1542.0,406.0,1129.0,7.0,1542.0,815.0,727.0,1542.0,250.0,1285.0,7.0
05_Antioquia,086_Belmira,Cabecera,497.0,497.0,491.0,6.0,497.0,487.0,10.0,497.0,489.0,8.0,497.0,380.0,111.0,6.0,497.0,492.0,5.0,497.0,210.0,281.0,6.0
05_Antioquia,086_Belmira,Centro poblado,89.0,89.0,89.0,0.0,89.0,84.0,5.0,89.0,67.0,22.0,89.0,14.0,75.0,0.0,89.0,73.0,16.0,89.0,15.0,74.0,0.0
05_Antioquia,086_Belmira,Rural disperso,956.0,956.0,939.0,17.0,956.0,322.0,634.0,956.0,38.0,918.0,956.0,12.0,943.0,1.0,956.0,250.0,706.0,956.0,25.0,930.0,1.0
05_Antioquia,088_Bello,Total municipal,155029.0,155029.0,153708.0,1321.0,155029.0,144660.0,10369.0,155029.0,143594.0,11435.0,155029.0,116992.0,37019.0,1018.0,155029.0,150355.0,4674.0,155029.0,97261.0,56739.0,1029.0
05_Antioquia,088_Bello,Cabecera,148141.0,148141.0,146907.0,1234.0,148141.0,141608.0,6533.0,148141.0,141401.0,6740.0,148141.0,116649.0,30492.0,1000.0,148141.0,144764.0,3377.0,148141.0,96279.0,50851.0,1011.0
05_Antioquia,088_Bello,Centro poblado,3996.0,3996.0,3965.0,31.0,3996.0,1155.0,2841.0,3996.0,1132.0,2864.0,3996.0,210.0,3783.0,3.0,3996.0,3796.0,200.0,3996.0,484.0,3509.0,3.0
05_Antioquia,088_Bello,Rural disperso,2892.0,2892.0,2836.0,56.0,2892.0,1897.0,995.0,2892.0,1061.0,1831.0,2892.0,133.0,2744.0,15.0,2892.0,1795.0,1097.0,2892.0,498.0,2379.0,15.0
05_Antioquia,091_Betania,Total municipal,2593.0,2593.0,2546.0,47.0,2593.0,1480.0,1113.0,2593.0,1185.0,1408.0,2593.0,875.0,1707.0,11.0,2593.0,1220.0,1373.0,2593.0,348.0,2234.0,11.0
05_Antioquia,091_Betania,Cabecera,1128.0,1128.0,1114.0,14.0,1128.0,1122.0,6.0,1128.0,1105.0,23.0,1128.0,793.0,324.0,11.0,1128.0,1113.0,15.0,1128.0,337.0,780.0,11.0
05_Antioquia,091_Betania,Centro poblado,26.0,26.0,26.0,0.0,26.0,24.0,2.0,26.0,7.0,19.0,26.0,1.0,25.0,0.0,26.0,26.0,0.0,26.0,0.0,26.0,0.0
05_Antioquia,091_Betania,Rural disperso,1439.0,1439.0,1406.0,33.0,1439.0,334.0,1105.0,1439.0,73.0,1366.0,1439.0,81.0,1358.0,0.0,1439.0,81.0,1358.0,1439.0,11.0,1428.0,0.0
05_Antioquia,093_Betulia,Total municipal,4709.0,4709.0,4585.0,124.0,4709.0,3426.0,1283.0,4709.0,1862.0,2847.0,4709.0,1021.0,3643.0,45.0,4709.0,1838.0,2871.0,4709.0,511.0,4153.0,45.0
05_Antioquia,093_Betulia,Cabecera,1414.0,1414.0,1384.0,30.0,1414.0,1360.0,54.0,1414.0,1239.0,175.0,1414.0,986.0,411.0,17.0,1414.0,1385.0,29.0,1414.0,395.0,1002.0,17.0
05_Antioquia,093_Betulia,Centro poblado,354.0,354.0,351.0,3.0,354.0,344.0,10.0,354.0,333.0,21.0,354.0,13.0,341.0,0.0,354.0,326.0,28.0,354.0,87.0,267.0,0.0
05_Antioquia,093_Betulia,Rural disperso,2941.0,2941.0,2850.0,91.0,2941.0,1722.0,1219.0,2941.0,290.0,2651.0,2941.0,22.0,2891.0,28.0,2941.0,127.0,2814.0,2941.0,29.0,2884.0,28.0
05_Antioquia,101_Ciudad Bolívar,Total municipal,7335.0,7335.0,7268.0,67.0,7335.0,5862.0,1473.0,7335.0,4802.0,2533.0,7335.0,2923.0,4374.0,38.0,7335.0,5742.0,1593.0,7335.0,1832.0,5465.0,38.0
05_Antioquia,101_Ciudad Bolívar,Cabecera,4874.0,4874.0,4852.0,22.0,4874.0,4834.0,40.0,4874.0,4337.0,537.0,4874.0,2866.0,1976.0,32.0,4874.0,4841.0,33.0,4874.0,1719.0,3123.0,32.0
05_Antioquia,101_Ciudad Bolívar,Centro poblado,469.0,469.0,465.0,4.0,469.0,450.0,19.0,469.0,329.0,140.0,469.0,46.0,419.0,4.0,469.0,458.0,11.0,469.0,42.0,423.0,4.0
05_Antioquia,101_Ciudad Bolívar,Rural disperso,1992.0,1992.0,1951.0,41.0,1992.0,578.0,1414.0,1992.0,136.0,1856.0,1992.0,11.0,1979.0,2.0,1992.0,443.0,1549.0,1992.0,71.0,1919.0,2.0
05_Antioquia,107_Briceño,Total municipal,1914.0,1914.0,1820.0,94.0,1914.0,1085.0,829.0,1914.0,975.0,939.0,1914.0,20.0,1880.0,14.0,1914.0,950.0,964.0,1914.0,61.0,1839.0,14.0
05_Antioquia,107_Briceño,Cabecera,834.0,834.0,827.0,7.0,834.0,778.0,56.0,834.0,804.0,30.0,834.0,18.0,803.0,13.0,834.0,825.0,9.0,834.0,58.0,763.0,13.0
05_Antioquia,107_Briceño,Centro poblado,106.0,106.0,103.0,3.0,106.0,44.0,62.0,106.0,43.0,63.0,106.0,1.0,104.0,1.0,106.0,33.0,73.0,106.0,1.0,104.0,1.0
05_Antioquia,107_Briceño,Rural disperso,974.0,974.0,890.0,84.0,974.0,263.0,711.0,974.0,128.0,846.0,974.0,1.0,973.0,0.0,974.0,92.0,882.0,974.0,2.0,972.0,0.0
05_Antioquia,113_Buriticá,Total municipal,2162.0,2162.0,2127.0,35.0,2162.0,1820.0,342.0,2162.0,1014.0,1148.0,2162.0,20.0,2137.0,5.0,2162.0,836.0,1326.0,2162.0,206.0,1951.0,5.0
05_Antioquia,113_Buriticá,Cabecera,631.0,631.0,626.0,5.0,631.0,629.0,2.0,631.0,624.0,7.0,631.0,12.0,617.0,2.0,631.0,615.0,16.0,631.0,175.0,454.0,2.0
05_Antioquia,113_Buriticá,Centro poblado,163.0,163.0,162.0,1.0,163.0,149.0,14.0,163.0,89.0,74.0,163.0,1.0,161.0,1.0,163.0,114.0,49.0,163.0,17.0,145.0,1.0
05_Antioquia,113_Buriticá,Rural disperso,1368.0,1368.0,1339.0,29.0,1368.0,1042.0,326.0,1368.0,301.0,1067.0,1368.0,7.0,1359.0,2.0,1368.0,107.0,1261.0,1368.0,14.0,1352.0,2.0
05_Antioquia,120_Cáceres,Total municipal,7515.0,7515.0,6534.0,981.0,7515.0,2552.0,4963.0,7515.0,3311.0,4204.0,7515.0,1363.0,6139.0,13.0,7515.0,4148.0,3367.0,7515.0,515.0,6987.0,13.0
05_Antioquia,120_Cáceres,Cabecera,1479.0,1479.0,1414.0,65.0,1479.0,1349.0,130.0,1479.0,852.0,627.0,1479.0,528.0,944.0,7.0,1479.0,1304.0,175.0,1479.0,222.0,1250.0,7.0
05_Antioquia,120_Cáceres,Centro poblado,3346.0,3346.0,3216.0,130.0,3346.0,1123.0,2223.0,3346.0,2214.0,1132.0,3346.0,767.0,2575.0,4.0,3346.0,2577.0,769.0,3346.0,245.0,3097.0,4.0
05_Antioquia,120_Cáceres,Rural disperso,2690.0,2690.0,1904.0,786.0,2690.0,80.0,2610.0,2690.0,245.0,2445.0,2690.0,68.0,2620.0,2.0,2690.0,267.0,2423.0,2690.0,48.0,2640.0,2.0
05_Antioquia,125_Caicedo,Total municipal,2223.0,2223.0,2141.0,82.0,2223.0,1699.0,524.0,2223.0,544.0,1679.0,2223.0,20.0,2159.0,44.0,2223.0,553.0,1670.0,2223.0,133.0,2046.0,44.0
05_Antioquia,125_Caicedo,Cabecera,544.0,544.0,542.0,2.0,544.0,540.0,4.0,544.0,517.0,27.0,544.0,17.0,504.0,23.0,544.0,528.0,16.0,544.0,131.0,390.0,23.0
05_Antioquia,125_Caicedo,Rural disperso,1679.0,1679.0,1599.0,80.0,1679.0,1159.0,520.0,1679.0,27.0,1652.0,1679.0,3.0,1655.0,21.0,1679.0,25.0,1654.0,1679.0,2.0,1656.0,21.0
05_Antioquia,129_Caldas,Total municipal,24163.0,24163.0,24094.0,69.0,24163.0,22992.0,1171.0,24163.0,21369.0,2794.0,24163.0,16089.0,7923.0,151.0,24163.0,23464.0,699.0,24163.0,15272.0,8740.0,151.0
05_Antioquia,129_Caldas,Cabecera,19526.0,19526.0,19491.0,35.0,19526.0,19412.0,114.0,19526.0,19195.0,331.0,19526.0,15021.0,4370.0,135.0,19526.0,19454.0,72.0,19526.0,13781.0,5610.0,135.0
05_Antioquia,129_Caldas,Centro poblado,3145.0,3145.0,3125.0,20.0,3145.0,2611.0,534.0,3145.0,1708.0,1437.0,3145.0,919.0,2218.0,8.0,3145.0,3025.0,120.0,3145.0,1059.0,2078.0,8.0
05_Antioquia,129_Caldas,Rural disperso,1492.0,1492.0,1478.0,14.0,1492.0,969.0,523.0,1492.0,466.0,1026.0,1492.0,149.0,1335.0,8.0,1492.0,985.0,507.0,1492.0,432.0,1052.0,8.0
05_Antioquia,134_Campamento,Total municipal,2187.0,2187.0,2072.0,115.0,2187.0,1186.0,1001.0,2187.0,761.0,1426.0,2187.0,15.0,2166.0,6.0,2187.0,758.0,1429.0,2187.0,172.0,2009.0,6.0
05_Antioquia,134_Campamento,Cabecera,789.0,789.0,781.0,8.0,789.0,779.0,10.0,789.0,735.0,54.0,789.0,13.0,771.0,5.0,789.0,742.0,47.0,789.0,167.0,617.0,5.0
05_Antioquia,134_Campamento,Centro poblado,127.0,127.0,112.0,15.0,127.0,80.0,47.0,127.0,1.0,126.0,127.0,0.0,126.0,1.0,127.0,0.0,127.0,127.0,0.0,126.0,1.0
05_Antioquia,134_Campamento,Rural disperso,1271.0,1271.0,1179.0,92.0,1271.0,327.0,944.0,1271.0,25.0,1246.0,1271.0,2.0,1269.0,0.0,1271.0,16.0,1255.0,1271.0,5.0,1266.0,0.0
05_Antioquia,138_Cañasgordas,Total municipal,4361.0,4361.0,4235.0,126.0,4361.0,2856.0,1505.0,4361.0,1747.0,2614.0,4361.0,1158.0,3199.0,4.0,4361.0,1781.0,2580.0,4361.0,386.0,3971.0,4.0
05_Antioquia,138_Cañasgordas,Cabecera,1639.0,1639.0,1621.0,18.0,1639.0,1513.0,126.0,1639.0,1437.0,202.0,1639.0,1144.0,492.0,3.0,1639.0,1609.0,30.0,1639.0,371.0,1265.0,3.0
