Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso)",Perosnas en hogares particulares,Sin servicio de energía eléctrica,No tiene,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,No sabe o no responde
05_Antioquia,05086_Belmira,Rural disperso,3481.0,41.0,3.0,835.0,2183.0,405.0,13.0,1.0,0.0,0.0
05_Antioquia,05088_Bello,Total,477660.0,3948.0,7427.0,126414.0,156105.0,158252.0,24826.0,230.0,108.0,350.0
05_Antioquia,05088_Bello,Cabecera,456897.0,3697.0,4229.0,115015.0,151340.0,157371.0,24663.0,174.0,70.0,338.0
05_Antioquia,05088_Bello,Centro poblado,12300.0,86.0,2798.0,7563.0,1411.0,412.0,27.0,0.0,0.0,3.0
05_Antioquia,05088_Bello,Rural disperso,8463.0,165.0,400.0,3836.0,3354.0,469.0,136.0,56.0,38.0,9.0
05_Antioquia,05091_Betania,Total,8589.0,158.0,57.0,1296.0,6383.0,676.0,0.0,5.0,1.0,13.0
05_Antioquia,05091_Betania,Cabecera,3400.0,49.0,2.0,537.0,2503.0,308.0,0.0,0.0,1.0,0.0
05_Antioquia,05091_Betania,Centro poblado,94.0,0.0,0.0,69.0,25.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,05091_Betania,Rural disperso,5095.0,109.0,55.0,690.0,3855.0,368.0,0.0,5.0,0.0,13.0
05_Antioquia,05093_Betulia,Total,15069.0,358.0,111.0,8743.0,3812.0,837.0,154.0,21.0,15.0,1018.0
05_Antioquia,05093_Betulia,Cabecera,4163.0,61.0,25.0,1646.0,1843.0,484.0,12.0,1.0,4.0,87.0
05_Antioquia,05093_Betulia,Centro poblado,997.0,9.0,9.0,408.0,412.0,103.0,1.0,0.0,0.0,55.0
05_Antioquia,05093_Betulia,Rural disperso,9909.0,288.0,77.0,6689.0,1557.0,250.0,141.0,20.0,11.0,876.0
05_Antioquia,05101_Ciudad Bolívar,Total,23086.0,165.0,237.0,5485.0,10949.0,5194.0,113.0,10.0,0.0,933.0
05_Antioquia,05101_Ciudad Bolívar,Cabecera,14487.0,48.0,166.0,3643.0,5882.0,4551.0,59.0,4.0,0.0,134.0
05_Antioquia,05101_Ciudad Bolívar,Centro poblado,1470.0,8.0,5.0,368.0,1048.0,30.0,0.0,0.0,0.0,11.0
05_Antioquia,05101_Ciudad Bolívar,Rural disperso,7129.0,109.0,66.0,1474.0,4019.0,613.0,54.0,6.0,0.0,788.0
05_Antioquia,05107_Briceño,Total,5946.0,249.0,20.0,3369.0,1974.0,327.0,3.0,0.0,0.0,4.0
05_Antioquia,05107_Briceño,Cabecera,2456.0,13.0,0.0,490.0,1628.0,319.0,3.0,0.0,0.0,3.0
05_Antioquia,05107_Briceño,Centro poblado,329.0,8.0,1.0,285.0,35.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,05107_Briceño,Rural disperso,3161.0,228.0,19.0,2594.0,311.0,8.0,0.0,0.0,0.0,1.0
05_Antioquia,05113_Buriticá,Total,7368.0,89.0,42.0,5193.0,1949.0,69.0,3.0,0.0,0.0,23.0
05_Antioquia,05113_Buriticá,Cabecera,2033.0,14.0,0.0,591.0,1355.0,59.0,3.0,0.0,0.0,11.0
05_Antioquia,05113_Buriticá,Centro poblado,544.0,1.0,4.0,392.0,135.0,4.0,0.0,0.0,0.0,8.0
05_Antioquia,05113_Buriticá,Rural disperso,4791.0,74.0,38.0,4210.0,459.0,6.0,0.0,0.0,0.0,4.0
05_Antioquia,05120_Cáceres,Total,26120.0,2821.0,1223.0,20606.0,1410.0,41.0,4.0,0.0,0.0,15.0
05_Antioquia,05120_Cáceres,Cabecera,5247.0,214.0,229.0,3869.0,913.0,15.0,4.0,0.0,0.0,3.0
05_Antioquia,05120_Cáceres,Centro poblado,12100.0,455.0,646.0,10574.0,403.0,10.0,0.0,0.0,0.0,12.0
05_Antioquia,05120_Cáceres,Rural disperso,8773.0,2152.0,348.0,6163.0,94.0,16.0,0.0,0.0,0.0,0.0
05_Antioquia,05125_Caicedo,Total,7015.0,239.0,21.0,4172.0,2418.0,161.0,0.0,0.0,0.0,4.0
05_Antioquia,05125_Caicedo,Cabecera,1507.0,2.0,5.0,295.0,1097.0,104.0,0.0,0.0,0.0,4.0
05_Antioquia,05125_Caicedo,Rural disperso,5508.0,237.0,16.0,3877.0,1321.0,57.0,0.0,0.0,0.0,0.0
05_Antioquia,05129_Caldas,Total,75971.0,174.0,373.0,7884.0,49938.0,17145.0,259.0,149.0,20.0,29.0
05_Antioquia,05129_Caldas,Cabecera,61442.0,95.0,47.0,3325.0,41116.0,16601.0,156.0,61.0,18.0,23.0
05_Antioquia,05129_Caldas,Centro poblado,10049.0,49.0,184.0,3145.0,6447.0,197.0,9.0,18.0,0.0,0.0
05_Antioquia,05129_Caldas,Rural disperso,4480.0,30.0,142.0,1414.0,2375.0,347.0,94.0,70.0,2.0,6.0
05_Antioquia,05134_Campamento,Total,7402.0,379.0,173.0,2817.0,3749.0,261.0,13.0,0.0,0.0,10.0
05_Antioquia,05134_Campamento,Cabecera,2334.0,17.0,22.0,613.0,1476.0,193.0,7.0,0.0,0.0,6.0
05_Antioquia,05134_Campamento,Centro poblado,490.0,45.0,22.0,131.0,292.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,05134_Campamento,Rural disperso,4578.0,317.0,129.0,2073.0,1981.0,68.0,6.0,0.0,0.0,4.0
05_Antioquia,05138_Cañasgordas,Total,13562.0,314.0,12.0,9085.0,4020.0,113.0,1.0,4.0,0.0,13.0
05_Antioquia,05138_Cañasgordas,Cabecera,4734.0,41.0,1.0,1431.0,3173.0,80.0,1.0,4.0,0.0,3.0
05_Antioquia,05138_Cañasgordas,Centro poblado,968.0,19.0,5.0,761.0,161.0,22.0,0.0,0.0,0.0,0.0
05_Antioquia,05138_Cañasgordas,Rural disperso,7860.0,254.0,6.0,6893.0,686.0,11.0,0.0,0.0,0.0,10.0
05_Antioquia,05142_Caracolí,Total,3955.0,65.0,6.0,1951.0,1853.0,75.0,2.0,0.0,0.0,3.0
05_Antioquia,05142_Caracolí,Cabecera,2431.0,5.0,4.0,992.0,1378.0,49.0,0.0,0.0,0.0,3.0
05_Antioquia,05142_Caracolí,Rural disperso,1524.0,60.0,2.0,959.0,475.0,26.0,2.0,0.0,0.0,0.0
05_Antioquia,05145_Caramanta,Total,4269.0,52.0,47.0,1296.0,2057.0,813.0,0.0,3.0,0.0,1.0
05_Antioquia,05145_Caramanta,Cabecera,1946.0,1.0,0.0,456.0,725.0,761.0,0.0,3.0,0.0,0.0
05_Antioquia,05145_Caramanta,Centro poblado,279.0,0.0,0.0,115.0,164.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,05145_Caramanta,Rural disperso,2044.0,51.0,47.0,725.0,1168.0,52.0,0.0,0.0,0.0,1.0
05_Antioquia,05147_Carepa,Total,45300.0,1022.0,337.0,25835.0,16545.0,1358.0,75.0,2.0,6.0,120.0
05_Antioquia,05147_Carepa,Cabecera,31631.0,613.0,170.0,13470.0,16129.0,1120.0,35.0,2.0,1.0,91.0
05_Antioquia,05147_Carepa,Centro poblado,6625.0,63.0,10.0,6324.0,203.0,18.0,6.0,0.0,0.0,1.0
05_Antioquia,05147_Carepa,Rural disperso,7044.0,346.0,157.0,6041.0,213.0,220.0,34.0,0.0,5.0,28.0
05_Antioquia,05148_El Carmen De Viboral,Total,53606.0,203.0,48.0,3221.0,27202.0,22076.0,582.0,194.0,47.0,33.0
05_Antioquia,05148_El Carmen De Viboral,Cabecera,32881.0,9.0,38.0,381.0,12818.0,19557.0,55.0,6.0,5.0,12.0
05_Antioquia,05148_El Carmen De Viboral,Centro poblado,1419.0,8.0,0.0,49.0,1195.0,150.0,15.0,2.0,0.0,0.0
05_Antioquia,05148_El Carmen De Viboral,Rural disperso,19306.0,186.0,10.0,2791.0,13189.0,2369.0,512.0,186.0,42.0,21.0
05_Antioquia,05150_Carolina,Total,3320.0,38.0,2.0,1121.0,2051.0,72.0,5.0,2.0,25.0,4.0
05_Antioquia,05150_Carolina,Cabecera,2619.0,19.0,0.0,666.0,1880.0,41.0,2.0,2.0,5.0,4.0
05_Antioquia,05150_Carolina,Rural disperso,701.0,19.0,2.0,455.0,171.0,31.0,3.0,0.0,20.0,0.0
05_Antioquia,05154_Caucasia,Total,84459.0,670.0,593.0,49186.0,25327.0,7876.0,660.0,62.0,15.0,70.0
05_Antioquia,05154_Caucasia,Cabecera,74074.0,266.0,218.0,39808.0,25162.0,7833.0,656.0,59.0,15.0,57.0
05_Antioquia,05154_Caucasia,Centro poblado,5458.0,155.0,276.0,4918.0,86.0,20.0,0.0,0.0,0.0,3.0
05_Antioquia,05154_Caucasia,Rural disperso,4927.0,249.0,99.0,4460.0,79.0,23.0,4.0,3.0,0.0,10.0
05_Antioquia,05172_Chigorodó,Total,55558.0,1192.0,484.0,33547.0,19705.0,569.0,30.0,4.0,4.0,23.0
05_Antioquia,05172_Chigorodó,Cabecera,46539.0,333.0,82.0,25891.0,19623.0,562.0,20.0,4.0,4.0,20.0
05_Antioquia,05172_Chigorodó,Centro poblado,1251.0,19.0,1.0,1230.0,1.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,05172_Chigorodó,Rural disperso,7768.0,840.0,401.0,6426.0,81.0,7.0,10.0,0.0,0.0,3.0
05_Antioquia,05190_Cisneros,Total,8891.0,22.0,71.0,3131.0,4800.0,836.0,27.0,0.0,0.0,4.0
05_Antioquia,05190_Cisneros,Cabecera,7688.0,17.0,60.0,2734.0,4074.0,784.0,15.0,0.0,0.0,4.0
05_Antioquia,05190_Cisneros,Rural disperso,1203.0,5.0,11.0,397.0,726.0,52.0,12.0,0.0,0.0,0.0
05_Antioquia,05197_Cocorná,Total,14703.0,314.0,65.0,4414.0,7586.0,1684.0,8.0,2.0,0.0,630.0
05_Antioquia,05197_Cocorná,Cabecera,5926.0,36.0,11.0,637.0,3706.0,1518.0,8.0,0.0,0.0,10.0
05_Antioquia,05197_Cocorná,Centro poblado,502.0,10.0,0.0,306.0,174.0,3.0,0.0,0.0,0.0,9.0
05_Antioquia,05197_Cocorná,Rural disperso,8275.0,268.0,54.0,3471.0,3706.0,163.0,0.0,2.0,0.0,611.0
05_Antioquia,05206_Concepción,Total,3901.0,26.0,54.0,962.0,2317.0,532.0,4.0,3.0,0.0,3.0
05_Antioquia,05206_Concepción,Cabecera,1752.0,5.0,0.0,154.0,1118.0,475.0,0.0,0.0,0.0,0.0
05_Antioquia,05206_Concepción,Rural disperso,2149.0,21.0,54.0,808.0,1199.0,57.0,4.0,3.0,0.0,3.0
05_Antioquia,05209_Concordia,Total,16063.0,95.0,47.0,4044.0,9631.0,2090.0,125.0,15.0,9.0,7.0
05_Antioquia,05209_Concordia,Cabecera,6804.0,49.0,8.0,1547.0,3516.0,1622.0,47.0,5.0,4.0,6.0
05_Antioquia,05209_Concordia,Centro poblado,688.0,11.0,4.0,470.0,197.0,6.0,0.0,0.0,0.0,0.0
05_Antioquia,05209_Concordia,Rural disperso,8571.0,35.0,35.0,2027.0,5918.0,462.0,78.0,10.0,5.0,1.0
05_Antioquia,05212_Copacabana,Total,76078.0,202.0,186.0,3830.0,47593.0,22654.0,850.0,395.0,301.0,67.0
05_Antioquia,05212_Copacabana,Cabecera,62102.0,69.0,101.0,2034.0,37845.0,21435.0,253.0,155.0,162.0,48.0
05_Antioquia,05212_Copacabana,Centro poblado,968.0,17.0,0.0,98.0,829.0,20.0,0.0,0.0,0.0,4.0
05_Antioquia,05212_Copacabana,Rural disperso,13008.0,116.0,85.0,1698.0,8919.0,1199.0,597.0,240.0,139.0,15.0
05_Antioquia,05234_Dabeiba,Total,22678.0,4030.0,103.0,13008.0,3487.0,2019.0,21.0,0.0,0.0,10.0
05_Antioquia,05234_Dabeiba,Cabecera,8839.0,415.0,20.0,3151.0,3231.0,2008.0,8.0,0.0,0.0,6.0
05_Antioquia,05234_Dabeiba,Centro poblado,697.0,13.0,4.0,566.0,105.0,5.0,4.0,0.0,0.0,0.0
05_Antioquia,05234_Dabeiba,Rural disperso,13142.0,3602.0,79.0,9291.0,151.0,6.0,9.0,0.0,0.0,4.0
05_Antioquia,05237_Donmatías,Total,14163.0,8.0,11.0,632.0,10410.0,2929.0,147.0,12.0,0.0,14.0
05_Antioquia,05237_Donmatías,Cabecera,11025.0,1.0,10.0,62.0,7986.0,2810.0,137.0,5.0,0.0,14.0
05_Antioquia,05237_Donmatías,Centro poblado,268.0,1.0,0.0,82.0,177.0,8.0,0.0,0.0,0.0,0.0
05_Antioquia,05237_Donmatías,Rural disperso,2870.0,6.0,1.0,488.0,2247.0,111.0,10.0,7.0,0.0,0.0
05_Antioquia,05240_Ebéjico,Total,10323.0,166.0,10.0,6352.0,3001.0,659.0,40.0,55.0,25.0,15.0
05_Antioquia,05240_Ebéjico,Cabecera,1819.0,18.0,2.0,270.0,1116.0,407.0,3.0,0.0,0.0,3.0
05_Antioquia,05240_Ebéjico,Centro poblado,1241.0,8.0,0.0,375.0,792.0,64.0,0.0,0.0,0.0,2.0
05_Antioquia,05240_Ebéjico,Rural disperso,7263.0,140.0,8.0,5707.0,1093.0,188.0,37.0,55.0,25.0,10.0
05_Antioquia,05250_El Bagre,Total,47549.0,1942.0,264.0,35644.0,8030.0,679.0,19.0,4.0,2.0,965.0
05_Antioquia,05250_El Bagre,Cabecera,29495.0,777.0,158.0,19173.0,7742.0,675.0,9.0,1.0,1.0,959.0
05_Antioquia,05250_El Bagre,Centro poblado,9511.0,84.0,36.0,9134.0,241.0,3.0,4.0,3.0,1.0,5.0
05_Antioquia,05250_El Bagre,Rural disperso,8543.0,1081.0,70.0,7337.0,47.0,1.0,6.0,0.0,0.0,1.0
05_Antioquia,05264_Entrerríos,Total,8779.0,9.0,13.0,342.0,2689.0,4853.0,798.0,35.0,37.0,3.0
05_Antioquia,05264_Entrerríos,Cabecera,5088.0,0.0,8.0,21.0,597.0,3808.0,638.0,7.0,6.0,3.0
05_Antioquia,05264_Entrerríos,Rural disperso,3691.0,9.0,5.0,321.0,2092.0,1045.0,160.0,28.0,31.0,0.0
05_Antioquia,05266_Envigado,Total,211558.0,285.0,142.0,1305.0,48041.0,74147.0,37595.0,45165.0,4484.0,394.0
05_Antioquia,05266_Envigado,Cabecera,201876.0,225.0,97.0,1001.0,43942.0,73300.0,36496.0,43203.0,3338.0,274.0
05_Antioquia,05266_Envigado,Centro poblado,1732.0,0.0,10.0,1.0,426.0,90.0,210.0,524.0,441.0,30.0
05_Antioquia,05266_Envigado,Rural disperso,7950.0,60.0,35.0,303.0,3673.0,757.0,889.0,1438.0,705.0,90.0
05_Antioquia,05282_Fredonia,Total,18744.0,162.0,8.0,6742.0,7550.0,3891.0,143.0,188.0,46.0,14.0
05_Antioquia,05282_Fredonia,Cabecera,7689.0,54.0,1.0,1493.0,3629.0,2473.0,14.0,8.0,8.0,9.0
05_Antioquia,05282_Fredonia,Centro poblado,1106.0,1.0,0.0,573.0,438.0,93.0,0.0,0.0,1.0,0.0
05_Antioquia,05282_Fredonia,Rural disperso,9949.0,107.0,7.0,4676.0,3483.0,1325.0,129.0,180.0,37.0,5.0
05_Antioquia,05284_Frontino,Total,20111.0,3738.0,74.0,6531.0,7050.0,2560.0,142.0,2.0,6.0,8.0
05_Antioquia,05284_Frontino,Cabecera,8042.0,75.0,19.0,1467.0,3941.0,2392.0,142.0,2.0,0.0,4.0
05_Antioquia,05284_Frontino,Centro poblado,1451.0,38.0,0.0,918.0,492.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,05284_Frontino,Rural disperso,10618.0,3625.0,55.0,4146.0,2617.0,165.0,0.0,0.0,6.0,4.0
05_Antioquia,05306_Giraldo,Total,5057.0,42.0,10.0,3965.0,1010.0,29.0,0.0,0.0,0.0,1.0
05_Antioquia,05306_Giraldo,Cabecera,1852.0,18.0,2.0,1071.0,742.0,18.0,0.0,0.0,0.0,1.0
05_Antioquia,05306_Giraldo,Centro poblado,273.0,0.0,8.0,133.0,127.0,5.0,0.0,0.0,0.0,0.0
05_Antioquia,05306_Giraldo,Rural disperso,2932.0,24.0,0.0,2761.0,141.0,6.0,0.0,0.0,0.0,0.0
05_Antioquia,05308_Girardota,Total,48310.0,77.0,113.0,3230.0,38904.0,5149.0,467.0,196.0,108.0,66.0
05_Antioquia,05308_Girardota,Cabecera,27896.0,15.0,22.0,142.0,23543.0,4046.0,82.0,14.0,4.0,28.0
05_Antioquia,05308_Girardota,Centro poblado,6551.0,29.0,24.0,955.0,5308.0,190.0,20.0,18.0,0.0,7.0
05_Antioquia,05308_Girardota,Rural disperso,13863.0,33.0,67.0,2133.0,10053.0,913.0,365.0,164.0,104.0,31.0
05_Antioquia,05310_Gómez Plata,Total,8212.0,92.0,6.0,3609.0,4398.0,94.0,8.0,0.0,4.0,1.0
05_Antioquia,05310_Gómez Plata,Cabecera,4239.0,22.0,3.0,1199.0,2967.0,44.0,3.0,0.0,0.0,1.0
05_Antioquia,05310_Gómez Plata,Centro poblado,540.0,9.0,0.0,256.0,267.0,8.0,0.0,0.0,0.0,0.0
05_Antioquia,05310_Gómez Plata,Rural disperso,3433.0,61.0,3.0,2154.0,1164.0,42.0,5.0,0.0,4.0,0.0
05_Antioquia,05313_Granada,Total,9203.0,185.0,17.0,3355.0,2449.0,2927.0,7.0,0.0,1.0,262.0
05_Antioquia,05313_Granada,Cabecera,5341.0,154.0,1.0,824.0,1447.0,2894.0,7.0,0.0,1.0,13.0
05_Antioquia,05313_Granada,Centro poblado,180.0,4.0,0.0,80.0,92.0,0.0,0.0,0.0,0.0,4.0
05_Antioquia,05313_Granada,Rural disperso,3682.0,27.0,16.0,2451.0,910.0,33.0,0.0,0.0,0.0,245.0
05_Antioquia,05315_Guadalupe,Total,5452.0,97.0,1.0,2675.0,2541.0,129.0,3.0,0.0,0.0,6.0
05_Antioquia,05315_Guadalupe,Cabecera,2124.0,7.0,0.0,641.0,1357.0,110.0,3.0,0.0,0.0,6.0
