Departamento,Municipio,"Total, Cabecera, Centro poblado y Rural disperso) y tipo de vivienda",Total,"Bloque, ladrillo, piedra, madera pulida",Concreto vaciado,Material prefabricado,Guadua,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablón","Caña, esterilla, otros vegetales","Materiales de desecho (Zinc, tela, cartón, latas, plásticos, otros)",Sin paredes
05_Antioquia,059_Armenia,Tipo cuarto,30.0,24.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,079_Barbosa,Total,15915.0,12961.0,1515.0,210.0,22.0,1015.0,169.0,6.0,17.0,0.0
05_Antioquia,079_Barbosa,Casa,10523.0,8721.0,626.0,205.0,22.0,820.0,112.0,6.0,11.0,0.0
05_Antioquia,079_Barbosa,Apartamento,5131.0,4060.0,864.0,3.0,0.0,169.0,34.0,0.0,1.0,0.0
05_Antioquia,079_Barbosa,Tipo cuarto,253.0,178.0,23.0,2.0,0.0,26.0,23.0,0.0,1.0,0.0
05_Antioquia,079_Barbosa,Vivienda tradicional indígena,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,079_Barbosa,Otro tipo de vivienda (1),6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
05_Antioquia,086_Belmira,Total,1542.0,703.0,9.0,32.0,1.0,746.0,49.0,0.0,2.0,0.0
05_Antioquia,086_Belmira,Casa,1444.0,632.0,3.0,32.0,1.0,728.0,47.0,0.0,1.0,0.0
05_Antioquia,086_Belmira,Apartamento,80.0,59.0,6.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0
05_Antioquia,086_Belmira,Tipo cuarto,18.0,12.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
05_Antioquia,088_Bello,Total,155029.0,129356.0,20698.0,754.0,13.0,574.0,3509.0,25.0,94.0,6.0
05_Antioquia,088_Bello,Casa,46407.0,38407.0,4500.0,313.0,6.0,421.0,2694.0,18.0,48.0,0.0
05_Antioquia,088_Bello,Apartamento,105487.0,88423.0,15886.0,418.0,5.0,124.0,612.0,2.0,17.0,0.0
05_Antioquia,088_Bello,Tipo cuarto,3040.0,2496.0,303.0,21.0,2.0,24.0,180.0,4.0,10.0,0.0
05_Antioquia,088_Bello,Vivienda tradicional indígena,7.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0
05_Antioquia,088_Bello,Vivienda tradicional étnica,14.0,4.0,4.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
05_Antioquia,088_Bello,Otro tipo de vivienda (1),74.0,25.0,5.0,1.0,0.0,3.0,16.0,1.0,18.0,5.0
05_Antioquia,091_Betania,Total,2593.0,1142.0,22.0,28.0,1.0,1326.0,37.0,33.0,4.0,0.0
05_Antioquia,091_Betania,Casa,2082.0,984.0,15.0,24.0,0.0,995.0,31.0,30.0,3.0,0.0
05_Antioquia,091_Betania,Apartamento,459.0,147.0,7.0,4.0,1.0,293.0,5.0,2.0,0.0,0.0
05_Antioquia,091_Betania,Tipo cuarto,51.0,11.0,0.0,0.0,0.0,38.0,0.0,1.0,1.0,0.0
05_Antioquia,091_Betania,Vivienda tradicional étnica,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,093_Betulia,Total,4709.0,2360.0,126.0,19.0,2.0,2096.0,93.0,5.0,8.0,0.0
05_Antioquia,093_Betulia,Casa,3939.0,1872.0,63.0,16.0,2.0,1886.0,89.0,3.0,8.0,0.0
05_Antioquia,093_Betulia,Apartamento,680.0,446.0,57.0,3.0,0.0,173.0,1.0,0.0,0.0,0.0
05_Antioquia,093_Betulia,Tipo cuarto,86.0,39.0,6.0,0.0,0.0,36.0,3.0,2.0,0.0,0.0
05_Antioquia,093_Betulia,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,093_Betulia,Otro tipo de vivienda (1),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,101_Ciudad Bolívar,Total,7335.0,4035.0,217.0,41.0,2.0,2980.0,43.0,4.0,13.0,0.0
05_Antioquia,101_Ciudad Bolívar,Casa,4475.0,2151.0,35.0,32.0,2.0,2223.0,25.0,2.0,5.0,0.0
05_Antioquia,101_Ciudad Bolívar,Apartamento,2677.0,1786.0,176.0,9.0,0.0,698.0,4.0,1.0,3.0,0.0
05_Antioquia,101_Ciudad Bolívar,Tipo cuarto,170.0,97.0,4.0,0.0,0.0,59.0,8.0,1.0,1.0,0.0
05_Antioquia,101_Ciudad Bolívar,Vivienda tradicional indígena,8.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
05_Antioquia,101_Ciudad Bolívar,Vivienda tradicional étnica,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,101_Ciudad Bolívar,Otro tipo de vivienda (1),4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
05_Antioquia,107_Briceño,Total,1914.0,1324.0,22.0,8.0,2.0,377.0,155.0,3.0,23.0,0.0
05_Antioquia,107_Briceño,Casa,1624.0,1065.0,14.0,7.0,2.0,367.0,150.0,3.0,16.0,0.0
05_Antioquia,107_Briceño,Apartamento,232.0,218.0,6.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0
05_Antioquia,107_Briceño,Tipo cuarto,49.0,39.0,2.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0
05_Antioquia,107_Briceño,Otro tipo de vivienda (1),9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
05_Antioquia,113_Buriticá,Total,2162.0,660.0,43.0,26.0,0.0,1374.0,55.0,0.0,4.0,0.0
05_Antioquia,113_Buriticá,Casa,1839.0,482.0,30.0,16.0,0.0,1270.0,38.0,0.0,3.0,0.0
05_Antioquia,113_Buriticá,Apartamento,252.0,161.0,10.0,10.0,0.0,66.0,5.0,0.0,0.0,0.0
05_Antioquia,113_Buriticá,Tipo cuarto,70.0,17.0,3.0,0.0,0.0,37.0,12.0,0.0,1.0,0.0
05_Antioquia,113_Buriticá,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,120_Cáceres,Total,7515.0,3960.0,69.0,16.0,5.0,18.0,2961.0,123.0,363.0,0.0
05_Antioquia,120_Cáceres,Casa,6930.0,3598.0,66.0,16.0,4.0,17.0,2787.0,121.0,321.0,0.0
05_Antioquia,120_Cáceres,Apartamento,314.0,245.0,1.0,0.0,0.0,0.0,66.0,0.0,2.0,0.0
05_Antioquia,120_Cáceres,Tipo cuarto,261.0,112.0,2.0,0.0,1.0,1.0,104.0,2.0,39.0,0.0
05_Antioquia,120_Cáceres,Vivienda tradicional indígena,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,120_Cáceres,Vivienda tradicional étnica,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,120_Cáceres,Otro tipo de vivienda (1),6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
05_Antioquia,125_Caicedo,Total,2223.0,370.0,9.0,10.0,1.0,1804.0,24.0,2.0,3.0,0.0
05_Antioquia,125_Caicedo,Casa,1948.0,290.0,5.0,6.0,0.0,1625.0,21.0,0.0,1.0,0.0
05_Antioquia,125_Caicedo,Apartamento,170.0,70.0,4.0,4.0,0.0,92.0,0.0,0.0,0.0,0.0
05_Antioquia,125_Caicedo,Tipo cuarto,104.0,10.0,0.0,0.0,1.0,87.0,2.0,2.0,2.0,0.0
05_Antioquia,125_Caicedo,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
05_Antioquia,129_Caldas,Total,24163.0,20267.0,1803.0,225.0,1.0,1682.0,157.0,4.0,23.0,1.0
05_Antioquia,129_Caldas,Casa,7694.0,6592.0,252.0,134.0,1.0,601.0,96.0,2.0,16.0,0.0
05_Antioquia,129_Caldas,Apartamento,16092.0,13416.0,1516.0,84.0,0.0,1052.0,22.0,2.0,0.0,0.0
05_Antioquia,129_Caldas,Tipo cuarto,364.0,249.0,35.0,7.0,0.0,29.0,39.0,0.0,5.0,0.0
05_Antioquia,129_Caldas,Vivienda tradicional indígena,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,129_Caldas,Vivienda tradicional étnica,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,129_Caldas,Otro tipo de vivienda (1),11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
05_Antioquia,134_Campamento,Total,2187.0,1151.0,39.0,2.0,0.0,846.0,134.0,5.0,10.0,0.0
05_Antioquia,134_Campamento,Casa,1940.0,962.0,21.0,1.0,0.0,809.0,134.0,5.0,8.0,0.0
05_Antioquia,134_Campamento,Apartamento,212.0,175.0,17.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0
05_Antioquia,134_Campamento,Tipo cuarto,32.0,13.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
05_Antioquia,134_Campamento,Otro tipo de vivienda (1),3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
05_Antioquia,138_Cañasgordas,Total,4361.0,2610.0,188.0,10.0,6.0,1390.0,102.0,33.0,22.0,0.0
05_Antioquia,138_Cañasgordas,Casa,3686.0,2077.0,129.0,9.0,3.0,1349.0,79.0,30.0,10.0,0.0
05_Antioquia,138_Cañasgordas,Apartamento,588.0,492.0,57.0,1.0,0.0,26.0,11.0,0.0,1.0,0.0
05_Antioquia,138_Cañasgordas,Tipo cuarto,68.0,37.0,2.0,0.0,1.0,14.0,8.0,0.0,6.0,0.0
05_Antioquia,138_Cañasgordas,Vivienda tradicional indígena,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
05_Antioquia,138_Cañasgordas,Vivienda tradicional étnica,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
05_Antioquia,138_Cañasgordas,Otro tipo de vivienda (1),11.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0
05_Antioquia,142_Caracolí,Total,1483.0,1129.0,168.0,5.0,1.0,52.0,126.0,0.0,2.0,0.0
05_Antioquia,142_Caracolí,Casa,1290.0,978.0,129.0,5.0,1.0,50.0,125.0,0.0,2.0,0.0
05_Antioquia,142_Caracolí,Apartamento,173.0,136.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,142_Caracolí,Tipo cuarto,18.0,14.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
05_Antioquia,142_Caracolí,Otro tipo de vivienda (1),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,145_Caramanta,Total,1506.0,541.0,31.0,23.0,2.0,892.0,11.0,2.0,4.0,0.0
05_Antioquia,145_Caramanta,Casa,1429.0,510.0,22.0,20.0,1.0,859.0,11.0,2.0,4.0,0.0
05_Antioquia,145_Caramanta,Apartamento,64.0,27.0,9.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0
05_Antioquia,145_Caramanta,Tipo cuarto,11.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
05_Antioquia,145_Caramanta,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,145_Caramanta,Otro tipo de vivienda (1),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_Antioquia,147_Carepa,Total,13802.0,10738.0,734.0,26.0,2.0,9.0,2235.0,9.0,47.0,2.0
05_Antioquia,147_Carepa,Casa,9624.0,7096.0,533.0,18.0,2.0,7.0,1921.0,9.0,38.0,0.0
05_Antioquia,147_Carepa,Apartamento,3438.0,3108.0,150.0,5.0,0.0,0.0,173.0,0.0,2.0,0.0
05_Antioquia,147_Carepa,Tipo cuarto,710.0,514.0,50.0,3.0,0.0,1.0,138.0,0.0,4.0,0.0
05_Antioquia,147_Carepa,Vivienda tradicional étnica,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
05_Antioquia,147_Carepa,Otro tipo de vivienda (1),24.0,16.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0
05_Antioquia,148_El Carmen De Viboral,Total,16436.0,14764.0,269.0,63.0,4.0,1222.0,109.0,1.0,4.0,0.0
05_Antioquia,148_El Carmen De Viboral,Casa,10984.0,9707.0,157.0,59.0,4.0,957.0,96.0,1.0,3.0,0.0
05_Antioquia,148_El Carmen De Viboral,Apartamento,5044.0,4716.0,108.0,3.0,0.0,209.0,8.0,0.0,0.0,0.0
05_Antioquia,148_El Carmen De Viboral,Tipo cuarto,407.0,341.0,4.0,1.0,0.0,56.0,5.0,0.0,0.0,0.0
05_Antioquia,148_El Carmen De Viboral,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,150_Carolina,Total,1258.0,633.0,31.0,20.0,1.0,566.0,4.0,2.0,1.0,0.0
05_Antioquia,150_Carolina,Casa,1143.0,565.0,27.0,19.0,1.0,527.0,3.0,1.0,0.0,0.0
05_Antioquia,150_Carolina,Apartamento,94.0,58.0,3.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0
05_Antioquia,150_Carolina,Tipo cuarto,19.0,10.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
05_Antioquia,150_Carolina,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
05_Antioquia,154_Caucasia,Total,24505.0,19247.0,1043.0,44.0,5.0,27.0,3757.0,62.0,318.0,2.0
05_Antioquia,154_Caucasia,Casa,16622.0,12516.0,612.0,32.0,5.0,21.0,3185.0,47.0,204.0,0.0
05_Antioquia,154_Caucasia,Apartamento,6429.0,5897.0,312.0,8.0,0.0,2.0,200.0,0.0,10.0,0.0
05_Antioquia,154_Caucasia,Tipo cuarto,1350.0,817.0,119.0,4.0,0.0,3.0,321.0,7.0,79.0,0.0
05_Antioquia,154_Caucasia,Vivienda tradicional indígena,51.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,3.0,0.0
05_Antioquia,154_Caucasia,Vivienda tradicional étnica,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
