Departamento,Municipio,Areas,"Total, Cabecera, Centro poblado, Rural disperso y tipos de vivienda",Total,"Mármol, parqué, madera pulida o lacada","Baldosa, vinilo, tableta, ladrillo, laminado",Alfombra,"Cemento, gravilla","Madera burda, tabla, tablón, otro vegetal","Tierra, arena, barro"
Total Nacional,Total Nacional,Rural disperso,Tipo cuarto,69366.0,267.0,8207.0,45.0,28392.0,4280.0,28175.0
Total Nacional,Total Nacional,Rural disperso,Vivienda tradicional indígena,138413.0,129.0,535.0,18.0,10431.0,23186.0,104114.0
Total Nacional,Total Nacional,Rural disperso,Vivienda tradicional étnica,6404.0,10.0,71.0,5.0,680.0,2683.0,2955.0
Total Nacional,Total Nacional,Rural disperso,Otro tipo de vivienda (1),6187.0,35.0,698.0,23.0,644.0,561.0,4226.0
05_Antioquia,001_Medellín,Total municipal,Total,798063.0,45159.0,630693.0,481.0,115086.0,4692.0,1952.0
05_Antioquia,001_Medellín,Total municipal,Casa,321071.0,14866.0,242561.0,199.0,59765.0,2260.0,1420.0
05_Antioquia,001_Medellín,Total municipal,Apartamento,456523.0,29627.0,375054.0,265.0,49423.0,1936.0,218.0
05_Antioquia,001_Medellín,Total municipal,Tipo cuarto,19900.0,647.0,12801.0,16.0,5819.0,387.0,230.0
05_Antioquia,001_Medellín,Total municipal,Vivienda tradicional indígena,60.0,1.0,12.0,0.0,12.0,18.0,17.0
05_Antioquia,001_Medellín,Total municipal,Vivienda tradicional étnica,70.0,4.0,41.0,0.0,11.0,10.0,4.0
05_Antioquia,001_Medellín,Total municipal,Otro tipo de vivienda (1),439.0,14.0,224.0,1.0,56.0,81.0,63.0
05_Antioquia,001_Medellín,Cabecera,Total,784666.0,44706.0,623438.0,473.0,109947.0,4396.0,1706.0
05_Antioquia,001_Medellín,Cabecera,Casa,309250.0,14466.0,236104.0,191.0,55291.0,1994.0,1204.0
05_Antioquia,001_Medellín,Cabecera,Apartamento,455140.0,29577.0,374301.0,265.0,48861.0,1924.0,212.0
05_Antioquia,001_Medellín,Cabecera,Tipo cuarto,19731.0,645.0,12761.0,16.0,5721.0,372.0,216.0
05_Antioquia,001_Medellín,Cabecera,Vivienda tradicional indígena,54.0,1.0,10.0,0.0,11.0,18.0,14.0
05_Antioquia,001_Medellín,Cabecera,Vivienda tradicional étnica,67.0,4.0,40.0,0.0,10.0,9.0,4.0
05_Antioquia,001_Medellín,Cabecera,Otro tipo de vivienda (1),424.0,13.0,222.0,1.0,53.0,79.0,56.0
05_Antioquia,001_Medellín,Centro poblado,Total,6626.0,211.0,3890.0,4.0,2364.0,123.0,34.0
05_Antioquia,001_Medellín,Centro poblado,Casa,5656.0,186.0,3409.0,4.0,1915.0,113.0,29.0
05_Antioquia,001_Medellín,Centro poblado,Apartamento,903.0,25.0,466.0,0.0,400.0,9.0,3.0
05_Antioquia,001_Medellín,Centro poblado,Tipo cuarto,64.0,0.0,15.0,0.0,48.0,1.0,0.0
05_Antioquia,001_Medellín,Centro poblado,Vivienda tradicional indígena,2.0,0.0,0.0,0.0,0.0,0.0,2.0
05_Antioquia,001_Medellín,Centro poblado,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,001_Medellín,Rural disperso,Total,6771.0,242.0,3365.0,4.0,2775.0,173.0,212.0
05_Antioquia,001_Medellín,Rural disperso,Casa,6165.0,214.0,3048.0,4.0,2559.0,153.0,187.0
05_Antioquia,001_Medellín,Rural disperso,Apartamento,480.0,25.0,287.0,0.0,162.0,3.0,3.0
05_Antioquia,001_Medellín,Rural disperso,Tipo cuarto,105.0,2.0,25.0,0.0,50.0,14.0,14.0
05_Antioquia,001_Medellín,Rural disperso,Vivienda tradicional indígena,4.0,0.0,2.0,0.0,1.0,0.0,1.0
05_Antioquia,001_Medellín,Rural disperso,Vivienda tradicional étnica,3.0,0.0,1.0,0.0,1.0,1.0,0.0
05_Antioquia,001_Medellín,Rural disperso,Otro tipo de vivienda (1),14.0,1.0,2.0,0.0,2.0,2.0,7.0
05_Antioquia,002_Abejorral,Total municipal,Total,5935.0,43.0,2118.0,0.0,3409.0,270.0,95.0
05_Antioquia,002_Abejorral,Total municipal,Casa,5532.0,40.0,1821.0,0.0,3324.0,257.0,90.0
05_Antioquia,002_Abejorral,Total municipal,Apartamento,341.0,3.0,267.0,0.0,62.0,8.0,1.0
05_Antioquia,002_Abejorral,Total municipal,Tipo cuarto,57.0,0.0,28.0,0.0,22.0,3.0,4.0
05_Antioquia,002_Abejorral,Total municipal,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,002_Abejorral,Total municipal,Otro tipo de vivienda (1),4.0,0.0,2.0,0.0,1.0,1.0,0.0
05_Antioquia,002_Abejorral,Cabecera,Total,2500.0,40.0,1702.0,0.0,642.0,112.0,4.0
05_Antioquia,002_Abejorral,Cabecera,Casa,2115.0,37.0,1409.0,0.0,565.0,101.0,3.0
05_Antioquia,002_Abejorral,Cabecera,Apartamento,335.0,3.0,266.0,0.0,59.0,7.0,0.0
05_Antioquia,002_Abejorral,Cabecera,Tipo cuarto,47.0,0.0,25.0,0.0,18.0,3.0,1.0
05_Antioquia,002_Abejorral,Cabecera,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,0.0,1.0,0.0
05_Antioquia,002_Abejorral,Cabecera,Otro tipo de vivienda (1),2.0,0.0,2.0,0.0,0.0,0.0,0.0
05_Antioquia,002_Abejorral,Centro poblado,Total,140.0,0.0,50.0,0.0,70.0,20.0,0.0
05_Antioquia,002_Abejorral,Centro poblado,Casa,138.0,0.0,50.0,0.0,68.0,20.0,0.0
05_Antioquia,002_Abejorral,Centro poblado,Apartamento,1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,002_Abejorral,Centro poblado,Tipo cuarto,1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,002_Abejorral,Rural disperso,Total,3295.0,3.0,366.0,0.0,2697.0,138.0,91.0
05_Antioquia,002_Abejorral,Rural disperso,Casa,3279.0,3.0,362.0,0.0,2691.0,136.0,87.0
05_Antioquia,002_Abejorral,Rural disperso,Apartamento,5.0,0.0,1.0,0.0,2.0,1.0,1.0
05_Antioquia,002_Abejorral,Rural disperso,Tipo cuarto,9.0,0.0,3.0,0.0,3.0,0.0,3.0
05_Antioquia,002_Abejorral,Rural disperso,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,1.0,1.0,0.0
05_Antioquia,004_Abriaquí,Total municipal,Total,738.0,31.0,164.0,1.0,410.0,108.0,24.0
05_Antioquia,004_Abriaquí,Total municipal,Casa,663.0,31.0,135.0,0.0,375.0,104.0,18.0
05_Antioquia,004_Abriaquí,Total municipal,Apartamento,56.0,0.0,24.0,1.0,28.0,3.0,0.0
05_Antioquia,004_Abriaquí,Total municipal,Tipo cuarto,18.0,0.0,5.0,0.0,7.0,1.0,5.0
05_Antioquia,004_Abriaquí,Total municipal,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
05_Antioquia,004_Abriaquí,Cabecera,Total,289.0,26.0,139.0,1.0,100.0,17.0,6.0
05_Antioquia,004_Abriaquí,Cabecera,Casa,221.0,26.0,110.0,0.0,68.0,13.0,4.0
05_Antioquia,004_Abriaquí,Cabecera,Apartamento,56.0,0.0,24.0,1.0,28.0,3.0,0.0
05_Antioquia,004_Abriaquí,Cabecera,Tipo cuarto,11.0,0.0,5.0,0.0,4.0,1.0,1.0
05_Antioquia,004_Abriaquí,Cabecera,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
05_Antioquia,004_Abriaquí,Centro poblado,Total,29.0,0.0,3.0,0.0,26.0,0.0,0.0
05_Antioquia,004_Abriaquí,Centro poblado,Casa,29.0,0.0,3.0,0.0,26.0,0.0,0.0
05_Antioquia,004_Abriaquí,Rural disperso,Total,420.0,5.0,22.0,0.0,284.0,91.0,18.0
05_Antioquia,004_Abriaquí,Rural disperso,Casa,413.0,5.0,22.0,0.0,281.0,91.0,14.0
05_Antioquia,004_Abriaquí,Rural disperso,Tipo cuarto,7.0,0.0,0.0,0.0,3.0,0.0,4.0
05_Antioquia,021_Alejandría,Total municipal,Total,1371.0,20.0,494.0,1.0,770.0,51.0,35.0
05_Antioquia,021_Alejandría,Total municipal,Casa,875.0,15.0,157.0,0.0,622.0,50.0,31.0
05_Antioquia,021_Alejandría,Total municipal,Apartamento,479.0,5.0,334.0,1.0,139.0,0.0,0.0
05_Antioquia,021_Alejandría,Total municipal,Tipo cuarto,16.0,0.0,3.0,0.0,9.0,1.0,3.0
05_Antioquia,021_Alejandría,Total municipal,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
05_Antioquia,021_Alejandría,Cabecera,Total,810.0,15.0,473.0,1.0,313.0,3.0,5.0
05_Antioquia,021_Alejandría,Cabecera,Casa,326.0,11.0,140.0,0.0,169.0,2.0,4.0
05_Antioquia,021_Alejandría,Cabecera,Apartamento,471.0,4.0,330.0,1.0,136.0,0.0,0.0
05_Antioquia,021_Alejandría,Cabecera,Tipo cuarto,12.0,0.0,3.0,0.0,8.0,1.0,0.0
05_Antioquia,021_Alejandría,Cabecera,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
05_Antioquia,021_Alejandría,Rural disperso,Total,561.0,5.0,21.0,0.0,457.0,48.0,30.0
05_Antioquia,021_Alejandría,Rural disperso,Casa,549.0,4.0,17.0,0.0,453.0,48.0,27.0
05_Antioquia,021_Alejandría,Rural disperso,Apartamento,8.0,1.0,4.0,0.0,3.0,0.0,0.0
05_Antioquia,021_Alejandría,Rural disperso,Tipo cuarto,4.0,0.0,0.0,0.0,1.0,0.0,3.0
05_Antioquia,030_Amagá,Total municipal,Total,8725.0,54.0,4005.0,2.0,4488.0,51.0,125.0
05_Antioquia,030_Amagá,Total municipal,Casa,5726.0,41.0,2011.0,2.0,3535.0,29.0,108.0
05_Antioquia,030_Amagá,Total municipal,Apartamento,2850.0,13.0,1962.0,0.0,857.0,17.0,1.0
05_Antioquia,030_Amagá,Total municipal,Tipo cuarto,143.0,0.0,32.0,0.0,95.0,5.0,11.0
05_Antioquia,030_Amagá,Total municipal,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,030_Amagá,Total municipal,Otro tipo de vivienda (1),5.0,0.0,0.0,0.0,0.0,0.0,5.0
05_Antioquia,030_Amagá,Cabecera,Total,4220.0,42.0,2954.0,1.0,1198.0,17.0,8.0
05_Antioquia,030_Amagá,Cabecera,Casa,1684.0,30.0,1082.0,1.0,563.0,4.0,4.0
05_Antioquia,030_Amagá,Cabecera,Apartamento,2449.0,12.0,1845.0,0.0,584.0,8.0,0.0
05_Antioquia,030_Amagá,Cabecera,Tipo cuarto,87.0,0.0,27.0,0.0,51.0,5.0,4.0
05_Antioquia,030_Amagá,Centro poblado,Total,2612.0,7.0,642.0,0.0,1877.0,19.0,67.0
05_Antioquia,030_Amagá,Centro poblado,Casa,2239.0,7.0,547.0,0.0,1613.0,11.0,61.0
05_Antioquia,030_Amagá,Centro poblado,Apartamento,334.0,0.0,92.0,0.0,233.0,8.0,1.0
05_Antioquia,030_Amagá,Centro poblado,Tipo cuarto,37.0,0.0,3.0,0.0,30.0,0.0,4.0
05_Antioquia,030_Amagá,Centro poblado,Vivienda tradicional indígena,1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,030_Amagá,Centro poblado,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
05_Antioquia,030_Amagá,Rural disperso,Total,1893.0,5.0,409.0,1.0,1413.0,15.0,50.0
05_Antioquia,030_Amagá,Rural disperso,Casa,1803.0,4.0,382.0,1.0,1359.0,14.0,43.0
05_Antioquia,030_Amagá,Rural disperso,Apartamento,67.0,1.0,25.0,0.0,40.0,1.0,0.0
05_Antioquia,030_Amagá,Rural disperso,Tipo cuarto,19.0,0.0,2.0,0.0,14.0,0.0,3.0
05_Antioquia,030_Amagá,Rural disperso,Otro tipo de vivienda (1),4.0,0.0,0.0,0.0,0.0,0.0,4.0
05_Antioquia,031_Amalfi,Total municipal,Total,6570.0,67.0,2105.0,0.0,3309.0,452.0,637.0
05_Antioquia,031_Amalfi,Total municipal,Casa,5159.0,58.0,1466.0,0.0,2828.0,299.0,508.0
05_Antioquia,031_Amalfi,Total municipal,Apartamento,1038.0,9.0,624.0,0.0,387.0,12.0,6.0
05_Antioquia,031_Amalfi,Total municipal,Tipo cuarto,201.0,0.0,14.0,0.0,71.0,78.0,38.0
05_Antioquia,031_Amalfi,Total municipal,Vivienda tradicional étnica,1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,031_Amalfi,Total municipal,Otro tipo de vivienda (1),171.0,0.0,1.0,0.0,22.0,63.0,85.0
05_Antioquia,031_Amalfi,Cabecera,Total,3803.0,43.0,2017.0,0.0,1704.0,11.0,28.0
05_Antioquia,031_Amalfi,Cabecera,Casa,2746.0,34.0,1392.0,0.0,1303.0,8.0,9.0
05_Antioquia,031_Amalfi,Cabecera,Apartamento,997.0,9.0,610.0,0.0,375.0,2.0,1.0
05_Antioquia,031_Amalfi,Cabecera,Tipo cuarto,44.0,0.0,14.0,0.0,26.0,0.0,4.0
05_Antioquia,031_Amalfi,Cabecera,Otro tipo de vivienda (1),16.0,0.0,1.0,0.0,0.0,1.0,14.0
05_Antioquia,031_Amalfi,Centro poblado,Total,65.0,0.0,7.0,0.0,51.0,1.0,6.0
05_Antioquia,031_Amalfi,Centro poblado,Casa,62.0,0.0,4.0,0.0,51.0,1.0,6.0
05_Antioquia,031_Amalfi,Centro poblado,Apartamento,3.0,0.0,3.0,0.0,0.0,0.0,0.0
05_Antioquia,031_Amalfi,Rural disperso,Total,2702.0,24.0,81.0,0.0,1554.0,440.0,603.0
05_Antioquia,031_Amalfi,Rural disperso,Casa,2351.0,24.0,70.0,0.0,1474.0,290.0,493.0
05_Antioquia,031_Amalfi,Rural disperso,Apartamento,38.0,0.0,11.0,0.0,12.0,10.0,5.0
05_Antioquia,031_Amalfi,Rural disperso,Tipo cuarto,157.0,0.0,0.0,0.0,45.0,78.0,34.0
05_Antioquia,031_Amalfi,Rural disperso,Vivienda tradicional étnica,1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,031_Amalfi,Rural disperso,Otro tipo de vivienda (1),155.0,0.0,0.0,0.0,22.0,62.0,71.0
05_Antioquia,034_Andes,Total municipal,Total,12078.0,122.0,5976.0,6.0,5633.0,258.0,83.0
05_Antioquia,034_Andes,Total municipal,Casa,8090.0,67.0,2936.0,5.0,4812.0,199.0,71.0
05_Antioquia,034_Andes,Total municipal,Apartamento,3665.0,49.0,2908.0,1.0,688.0,18.0,1.0
05_Antioquia,034_Andes,Total municipal,Tipo cuarto,281.0,6.0,130.0,0.0,130.0,7.0,8.0
05_Antioquia,034_Andes,Total municipal,Vivienda tradicional indígena,36.0,0.0,1.0,0.0,0.0,33.0,2.0
05_Antioquia,034_Andes,Total municipal,Otro tipo de vivienda (1),6.0,0.0,1.0,0.0,3.0,1.0,1.0
05_Antioquia,034_Andes,Cabecera,Total,6123.0,94.0,4747.0,2.0,1215.0,56.0,9.0
05_Antioquia,034_Andes,Cabecera,Casa,2614.0,43.0,1888.0,1.0,636.0,39.0,7.0
05_Antioquia,034_Andes,Cabecera,Apartamento,3353.0,45.0,2760.0,1.0,535.0,11.0,1.0
05_Antioquia,034_Andes,Cabecera,Tipo cuarto,153.0,6.0,98.0,0.0,44.0,5.0,0.0
05_Antioquia,034_Andes,Cabecera,Otro tipo de vivienda (1),3.0,0.0,1.0,0.0,0.0,1.0,1.0
05_Antioquia,034_Andes,Centro poblado,Total,1131.0,4.0,445.0,2.0,627.0,48.0,5.0
05_Antioquia,034_Andes,Centro poblado,Casa,868.0,3.0,303.0,2.0,516.0,41.0,3.0
05_Antioquia,034_Andes,Centro poblado,Apartamento,220.0,1.0,119.0,0.0,94.0,6.0,0.0
05_Antioquia,034_Andes,Centro poblado,Tipo cuarto,41.0,0.0,22.0,0.0,16.0,1.0,2.0
05_Antioquia,034_Andes,Centro poblado,Vivienda tradicional indígena,1.0,0.0,1.0,0.0,0.0,0.0,0.0
05_Antioquia,034_Andes,Centro poblado,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,1.0,0.0,0.0
05_Antioquia,034_Andes,Rural disperso,Total,4824.0,24.0,784.0,2.0,3791.0,154.0,69.0
05_Antioquia,034_Andes,Rural disperso,Casa,4608.0,21.0,745.0,2.0,3660.0,119.0,61.0
05_Antioquia,034_Andes,Rural disperso,Apartamento,92.0,3.0,29.0,0.0,59.0,1.0,0.0
05_Antioquia,034_Andes,Rural disperso,Tipo cuarto,87.0,0.0,10.0,0.0,70.0,1.0,6.0
05_Antioquia,034_Andes,Rural disperso,Vivienda tradicional indígena,35.0,0.0,0.0,0.0,0.0,33.0,2.0
05_Antioquia,034_Andes,Rural disperso,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,2.0,0.0,0.0
05_Antioquia,036_Angelópolis,Total municipal,Total,1716.0,10.0,562.0,1.0,1085.0,19.0,39.0
05_Antioquia,036_Angelópolis,Total municipal,Casa,1360.0,8.0,338.0,0.0,967.0,11.0,36.0
05_Antioquia,036_Angelópolis,Total municipal,Apartamento,339.0,2.0,221.0,1.0,107.0,8.0,0.0
05_Antioquia,036_Angelópolis,Total municipal,Tipo cuarto,14.0,0.0,3.0,0.0,10.0,0.0,1.0
05_Antioquia,036_Angelópolis,Total municipal,Otro tipo de vivienda (1),3.0,0.0,0.0,0.0,1.0,0.0,2.0
05_Antioquia,036_Angelópolis,Cabecera,Total,703.0,7.0,400.0,1.0,267.0,14.0,14.0
05_Antioquia,036_Angelópolis,Cabecera,Casa,412.0,5.0,200.0,0.0,185.0,8.0,14.0
05_Antioquia,036_Angelópolis,Cabecera,Apartamento,289.0,2.0,200.0,1.0,80.0,6.0,0.0
05_Antioquia,036_Angelópolis,Cabecera,Tipo cuarto,2.0,0.0,0.0,0.0,2.0,0.0,0.0
05_Antioquia,036_Angelópolis,Centro poblado,Total,322.0,0.0,49.0,0.0,269.0,0.0,4.0
05_Antioquia,036_Angelópolis,Centro poblado,Casa,296.0,0.0,39.0,0.0,255.0,0.0,2.0
05_Antioquia,036_Angelópolis,Centro poblado,Apartamento,20.0,0.0,9.0,0.0,11.0,0.0,0.0
05_Antioquia,036_Angelópolis,Centro poblado,Tipo cuarto,5.0,0.0,1.0,0.0,3.0,0.0,1.0
05_Antioquia,036_Angelópolis,Centro poblado,Otro tipo de vivienda (1),1.0,0.0,0.0,0.0,0.0,0.0,1.0
05_Antioquia,036_Angelópolis,Rural disperso,Total,691.0,3.0,113.0,0.0,549.0,5.0,21.0
05_Antioquia,036_Angelópolis,Rural disperso,Casa,652.0,3.0,99.0,0.0,527.0,3.0,20.0
05_Antioquia,036_Angelópolis,Rural disperso,Apartamento,30.0,0.0,12.0,0.0,16.0,2.0,0.0
05_Antioquia,036_Angelópolis,Rural disperso,Tipo cuarto,7.0,0.0,2.0,0.0,5.0,0.0,0.0
05_Antioquia,036_Angelópolis,Rural disperso,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,1.0,0.0,1.0
05_Antioquia,038_Angostura,Total municipal,Total,3134.0,9.0,737.0,0.0,2053.0,18.0,317.0
05_Antioquia,038_Angostura,Total municipal,Casa,2883.0,7.0,579.0,0.0,1975.0,16.0,306.0
05_Antioquia,038_Angostura,Total municipal,Apartamento,204.0,2.0,150.0,0.0,52.0,0.0,0.0
05_Antioquia,038_Angostura,Total municipal,Tipo cuarto,43.0,0.0,8.0,0.0,25.0,2.0,8.0
05_Antioquia,038_Angostura,Total municipal,Otro tipo de vivienda (1),4.0,0.0,0.0,0.0,1.0,0.0,3.0
05_Antioquia,038_Angostura,Cabecera,Total,835.0,7.0,497.0,0.0,315.0,9.0,7.0
05_Antioquia,038_Angostura,Cabecera,Casa,648.0,5.0,361.0,0.0,266.0,9.0,7.0
05_Antioquia,038_Angostura,Cabecera,Apartamento,180.0,2.0,132.0,0.0,46.0,0.0,0.0
05_Antioquia,038_Angostura,Cabecera,Tipo cuarto,7.0,0.0,4.0,0.0,3.0,0.0,0.0
05_Antioquia,038_Angostura,Centro poblado,Total,123.0,0.0,70.0,0.0,50.0,3.0,0.0
05_Antioquia,038_Angostura,Centro poblado,Casa,99.0,0.0,51.0,0.0,45.0,3.0,0.0
05_Antioquia,038_Angostura,Centro poblado,Apartamento,20.0,0.0,16.0,0.0,4.0,0.0,0.0
05_Antioquia,038_Angostura,Centro poblado,Tipo cuarto,4.0,0.0,3.0,0.0,1.0,0.0,0.0
05_Antioquia,038_Angostura,Rural disperso,Total,2176.0,2.0,170.0,0.0,1688.0,6.0,310.0
05_Antioquia,038_Angostura,Rural disperso,Casa,2136.0,2.0,167.0,0.0,1664.0,4.0,299.0
05_Antioquia,038_Angostura,Rural disperso,Apartamento,4.0,0.0,2.0,0.0,2.0,0.0,0.0
05_Antioquia,038_Angostura,Rural disperso,Tipo cuarto,32.0,0.0,1.0,0.0,21.0,2.0,8.0
05_Antioquia,038_Angostura,Rural disperso,Otro tipo de vivienda (1),4.0,0.0,0.0,0.0,1.0,0.0,3.0
05_Antioquia,040_Anorí,Total municipal,Total,4597.0,36.0,1189.0,0.0,2698.0,295.0,379.0
05_Antioquia,040_Anorí,Total municipal,Casa,3547.0,16.0,617.0,0.0,2368.0,250.0,296.0
05_Antioquia,040_Anorí,Total municipal,Apartamento,775.0,16.0,554.0,0.0,197.0,5.0,3.0
05_Antioquia,040_Anorí,Total municipal,Tipo cuarto,263.0,4.0,18.0,0.0,133.0,40.0,68.0
05_Antioquia,040_Anorí,Total municipal,Vivienda tradicional indígena,10.0,0.0,0.0,0.0,0.0,0.0,10.0
05_Antioquia,040_Anorí,Total municipal,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,2.0
05_Antioquia,040_Anorí,Cabecera,Total,2220.0,31.0,1136.0,0.0,981.0,34.0,38.0
05_Antioquia,040_Anorí,Cabecera,Casa,1380.0,14.0,567.0,0.0,744.0,25.0,30.0
05_Antioquia,040_Anorí,Cabecera,Apartamento,759.0,14.0,552.0,0.0,186.0,4.0,3.0
05_Antioquia,040_Anorí,Cabecera,Tipo cuarto,81.0,3.0,17.0,0.0,51.0,5.0,5.0
05_Antioquia,040_Anorí,Centro poblado,Total,189.0,0.0,9.0,0.0,153.0,13.0,14.0
05_Antioquia,040_Anorí,Centro poblado,Casa,164.0,0.0,9.0,0.0,130.0,13.0,12.0
05_Antioquia,040_Anorí,Centro poblado,Tipo cuarto,25.0,0.0,0.0,0.0,23.0,0.0,2.0
05_Antioquia,040_Anorí,Rural disperso,Total,2188.0,5.0,44.0,0.0,1564.0,248.0,327.0
05_Antioquia,040_Anorí,Rural disperso,Casa,2003.0,2.0,41.0,0.0,1494.0,212.0,254.0
05_Antioquia,040_Anorí,Rural disperso,Apartamento,16.0,2.0,2.0,0.0,11.0,1.0,0.0
05_Antioquia,040_Anorí,Rural disperso,Tipo cuarto,157.0,1.0,1.0,0.0,59.0,35.0,61.0
05_Antioquia,040_Anorí,Rural disperso,Vivienda tradicional indígena,10.0,0.0,0.0,0.0,0.0,0.0,10.0
05_Antioquia,040_Anorí,Rural disperso,Otro tipo de vivienda (1),2.0,0.0,0.0,0.0,0.0,0.0,2.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,Total,7702.0,56.0,3490.0,3.0,3330.0,74.0,749.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,Casa,5951.0,34.0,2269.0,0.0,2849.0,69.0,730.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,Apartamento,1544.0,21.0,1134.0,0.0,382.0,4.0,3.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,Tipo cuarto,195.0,1.0,84.0,1.0,97.0,1.0,11.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,Vivienda tradicional étnica,2.0,0.0,1.0,0.0,0.0,0.0,1.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,Otro tipo de vivienda (1),10.0,0.0,2.0,2.0,2.0,0.0,4.0
05_Antioquia,042_Santa Fé De Antioquia,Cabecera,Total,5331.0,55.0,3227.0,3.0,1943.0,18.0,85.0
05_Antioquia,042_Santa Fé De Antioquia,Cabecera,Casa,3614.0,33.0,2021.0,0.0,1476.0,13.0,71.0
