Departamento,Municipio,"Total, Cabecera, Centro poblado, Rural disperso",Total viviendas ocupadas con personas presentes,Inodoro conectado al alcantarillado*,Inodoro conectado a pozo séptico,Inodoro sin conexión,Letrina,Inodoro con descarga directa a fuentes de agua (bajamar),No tiene servicio sanitario,Sin información
05_Antioquia,031_Amalfi,Centro poblado,65.0,18.0,42.0,0.0,0.0,3.0,2.0,0.0
05_Antioquia,031_Amalfi,Rural disperso,2702.0,24.0,672.0,234.0,53.0,1523.0,193.0,3.0
05_Antioquia,034_Andes,Total municipal,12078.0,6417.0,1819.0,520.0,29.0,3173.0,84.0,36.0
05_Antioquia,034_Andes,Cabecera,6123.0,5590.0,301.0,11.0,2.0,186.0,8.0,25.0
05_Antioquia,034_Andes,Centro poblado,1131.0,676.0,244.0,65.0,0.0,140.0,1.0,5.0
05_Antioquia,034_Andes,Rural disperso,4824.0,151.0,1274.0,444.0,27.0,2847.0,75.0,6.0
05_Antioquia,036_Angelópolis,Total municipal,1716.0,1049.0,389.0,38.0,2.0,219.0,15.0,4.0
05_Antioquia,036_Angelópolis,Cabecera,703.0,648.0,18.0,5.0,0.0,25.0,4.0,3.0
05_Antioquia,036_Angelópolis,Centro poblado,322.0,242.0,25.0,1.0,0.0,49.0,5.0,0.0
05_Antioquia,036_Angelópolis,Rural disperso,691.0,159.0,346.0,32.0,2.0,145.0,6.0,1.0
05_Antioquia,038_Angostura,Total municipal,3134.0,718.0,829.0,667.0,14.0,840.0,54.0,12.0
05_Antioquia,038_Angostura,Cabecera,835.0,706.0,27.0,12.0,3.0,75.0,1.0,11.0
05_Antioquia,038_Angostura,Centro poblado,123.0,8.0,12.0,40.0,0.0,63.0,0.0,0.0
05_Antioquia,038_Angostura,Rural disperso,2176.0,4.0,790.0,615.0,11.0,702.0,53.0,1.0
05_Antioquia,040_Anorí,Total municipal,4597.0,1730.0,472.0,805.0,12.0,1196.0,341.0,41.0
05_Antioquia,040_Anorí,Cabecera,2220.0,1692.0,167.0,45.0,3.0,265.0,20.0,28.0
05_Antioquia,040_Anorí,Centro poblado,189.0,21.0,4.0,15.0,0.0,139.0,9.0,1.0
05_Antioquia,040_Anorí,Rural disperso,2188.0,17.0,301.0,745.0,9.0,792.0,312.0,12.0
05_Antioquia,042_Santa Fé De Antioquia,Total municipal,7702.0,5363.0,1889.0,152.0,11.0,60.0,206.0,21.0
05_Antioquia,042_Santa Fé De Antioquia,Cabecera,5331.0,5204.0,67.0,5.0,0.0,17.0,17.0,21.0
05_Antioquia,042_Santa Fé De Antioquia,Centro poblado,206.0,89.0,76.0,16.0,0.0,19.0,6.0,0.0
05_Antioquia,042_Santa Fé De Antioquia,Rural disperso,2165.0,70.0,1746.0,131.0,11.0,24.0,183.0,0.0
05_Antioquia,044_Anzá,Total municipal,2096.0,658.0,694.0,310.0,66.0,338.0,26.0,4.0
05_Antioquia,044_Anzá,Cabecera,456.0,440.0,5.0,6.0,0.0,3.0,0.0,2.0
05_Antioquia,044_Anzá,Centro poblado,253.0,189.0,54.0,4.0,0.0,5.0,1.0,0.0
05_Antioquia,044_Anzá,Rural disperso,1387.0,29.0,635.0,300.0,66.0,330.0,25.0,2.0
05_Antioquia,045_Apartadó,Total municipal,34590.0,30223.0,2842.0,89.0,22.0,413.0,768.0,233.0
05_Antioquia,045_Apartadó,Cabecera,28287.0,26900.0,898.0,40.0,8.0,172.0,54.0,215.0
05_Antioquia,045_Apartadó,Centro poblado,3985.0,2924.0,783.0,19.0,7.0,87.0,156.0,9.0
05_Antioquia,045_Apartadó,Rural disperso,2318.0,399.0,1161.0,30.0,7.0,154.0,558.0,9.0
05_Antioquia,051_Arboletes,Total municipal,7273.0,2534.0,2730.0,93.0,24.0,20.0,1864.0,8.0
05_Antioquia,051_Arboletes,Cabecera,2818.0,2503.0,247.0,22.0,7.0,19.0,13.0,7.0
05_Antioquia,051_Arboletes,Centro poblado,727.0,7.0,613.0,7.0,1.0,1.0,98.0,0.0
05_Antioquia,051_Arboletes,Rural disperso,3728.0,24.0,1870.0,64.0,16.0,0.0,1753.0,1.0
05_Antioquia,055_Argelia,Total municipal,2245.0,925.0,304.0,81.0,9.0,895.0,19.0,12.0
05_Antioquia,055_Argelia,Cabecera,1110.0,922.0,51.0,20.0,2.0,102.0,1.0,12.0
05_Antioquia,055_Argelia,Rural disperso,1135.0,3.0,253.0,61.0,7.0,793.0,18.0,0.0
05_Antioquia,059_Armenia,Total municipal,1373.0,628.0,414.0,201.0,10.0,96.0,8.0,16.0
05_Antioquia,059_Armenia,Cabecera,512.0,467.0,7.0,11.0,0.0,14.0,0.0,13.0
05_Antioquia,059_Armenia,Centro poblado,75.0,47.0,22.0,3.0,1.0,0.0,0.0,2.0
05_Antioquia,059_Armenia,Rural disperso,786.0,114.0,385.0,187.0,9.0,82.0,8.0,1.0
05_Antioquia,079_Barbosa,Total municipal,15915.0,7849.0,5861.0,1374.0,28.0,753.0,22.0,28.0
05_Antioquia,079_Barbosa,Cabecera,7204.0,6656.0,222.0,32.0,16.0,254.0,2.0,22.0
05_Antioquia,079_Barbosa,Centro poblado,1906.0,578.0,977.0,171.0,0.0,176.0,3.0,1.0
05_Antioquia,079_Barbosa,Rural disperso,6805.0,615.0,4662.0,1171.0,12.0,323.0,17.0,5.0
05_Antioquia,086_Belmira,Total municipal,1542.0,559.0,655.0,174.0,3.0,136.0,9.0,6.0
05_Antioquia,086_Belmira,Cabecera,497.0,480.0,3.0,0.0,0.0,7.0,1.0,6.0
05_Antioquia,086_Belmira,Centro poblado,89.0,65.0,12.0,2.0,0.0,10.0,0.0,0.0
05_Antioquia,086_Belmira,Rural disperso,956.0,14.0,640.0,172.0,3.0,119.0,8.0,0.0
05_Antioquia,088_Bello,Total municipal,155029.0,141429.0,6047.0,1137.0,997.0,4245.0,152.0,1022.0
05_Antioquia,088_Bello,Cabecera,148141.0,139559.0,2761.0,974.0,85.0,3625.0,134.0,1003.0
05_Antioquia,088_Bello,Centro poblado,3996.0,1085.0,1525.0,121.0,881.0,369.0,11.0,4.0
05_Antioquia,088_Bello,Rural disperso,2892.0,785.0,1761.0,42.0,31.0,251.0,7.0,15.0
05_Antioquia,091_Betania,Total municipal,2593.0,1135.0,498.0,21.0,5.0,912.0,11.0,11.0
05_Antioquia,091_Betania,Cabecera,1128.0,1084.0,10.0,0.0,0.0,18.0,5.0,11.0
05_Antioquia,091_Betania,Centro poblado,26.0,2.0,6.0,1.0,1.0,16.0,0.0,0.0
05_Antioquia,091_Betania,Rural disperso,1439.0,49.0,482.0,20.0,4.0,878.0,6.0,0.0
05_Antioquia,093_Betulia,Total municipal,4709.0,1523.0,891.0,120.0,7.0,2097.0,28.0,43.0
05_Antioquia,093_Betulia,Cabecera,1414.0,1162.0,28.0,18.0,0.0,184.0,6.0,16.0
05_Antioquia,093_Betulia,Centro poblado,354.0,315.0,7.0,1.0,1.0,25.0,5.0,0.0
05_Antioquia,093_Betulia,Rural disperso,2941.0,46.0,856.0,101.0,6.0,1888.0,17.0,27.0
05_Antioquia,101_Ciudad Bolívar,Total municipal,7335.0,4602.0,856.0,56.0,6.0,1745.0,33.0,37.0
05_Antioquia,101_Ciudad Bolívar,Cabecera,4874.0,4240.0,91.0,27.0,0.0,467.0,18.0,31.0
05_Antioquia,101_Ciudad Bolívar,Centro poblado,469.0,308.0,25.0,1.0,0.0,130.0,1.0,4.0
05_Antioquia,101_Ciudad Bolívar,Rural disperso,1992.0,54.0,740.0,28.0,6.0,1148.0,14.0,2.0
05_Antioquia,107_Briceño,Total municipal,1914.0,911.0,293.0,557.0,7.0,105.0,27.0,14.0
05_Antioquia,107_Briceño,Cabecera,834.0,787.0,18.0,4.0,0.0,8.0,4.0,13.0
05_Antioquia,107_Briceño,Centro poblado,106.0,32.0,20.0,52.0,0.0,1.0,0.0,1.0
05_Antioquia,107_Briceño,Rural disperso,974.0,92.0,255.0,501.0,7.0,96.0,23.0,0.0
05_Antioquia,113_Buriticá,Total municipal,2162.0,974.0,695.0,234.0,8.0,58.0,189.0,4.0
05_Antioquia,113_Buriticá,Cabecera,631.0,614.0,5.0,0.0,0.0,9.0,1.0,2.0
05_Antioquia,113_Buriticá,Centro poblado,163.0,78.0,67.0,6.0,0.0,10.0,1.0,1.0
05_Antioquia,113_Buriticá,Rural disperso,1368.0,282.0,623.0,228.0,8.0,39.0,187.0,1.0
05_Antioquia,120_Cáceres,Total municipal,7515.0,3206.0,2020.0,219.0,83.0,622.0,1351.0,14.0
05_Antioquia,120_Cáceres,Cabecera,1479.0,819.0,457.0,10.0,17.0,116.0,53.0,7.0
05_Antioquia,120_Cáceres,Centro poblado,3346.0,2153.0,498.0,69.0,33.0,183.0,406.0,4.0
05_Antioquia,120_Cáceres,Rural disperso,2690.0,234.0,1065.0,140.0,33.0,323.0,892.0,3.0
05_Antioquia,125_Caicedo,Total municipal,2223.0,511.0,527.0,518.0,31.0,512.0,81.0,43.0
05_Antioquia,125_Caicedo,Cabecera,544.0,491.0,15.0,11.0,1.0,4.0,0.0,22.0
05_Antioquia,125_Caicedo,Rural disperso,1679.0,20.0,512.0,507.0,30.0,508.0,81.0,21.0
05_Antioquia,129_Caldas,Total municipal,24163.0,20706.0,910.0,54.0,8.0,2301.0,31.0,153.0
05_Antioquia,129_Caldas,Cabecera,19526.0,18947.0,126.0,17.0,2.0,287.0,9.0,138.0
05_Antioquia,129_Caldas,Centro poblado,3145.0,1390.0,203.0,7.0,0.0,1521.0,16.0,8.0
05_Antioquia,129_Caldas,Rural disperso,1492.0,369.0,581.0,30.0,6.0,493.0,6.0,7.0
05_Antioquia,134_Campamento,Total municipal,2187.0,740.0,167.0,571.0,8.0,634.0,61.0,6.0
05_Antioquia,134_Campamento,Cabecera,789.0,722.0,13.0,17.0,0.0,30.0,2.0,5.0
05_Antioquia,134_Campamento,Centro poblado,127.0,1.0,29.0,26.0,0.0,69.0,1.0,1.0
05_Antioquia,134_Campamento,Rural disperso,1271.0,17.0,125.0,528.0,8.0,535.0,58.0,0.0
05_Antioquia,138_Cañasgordas,Total municipal,4361.0,1663.0,1223.0,796.0,66.0,446.0,162.0,5.0
05_Antioquia,138_Cañasgordas,Cabecera,1639.0,1392.0,106.0,30.0,4.0,98.0,5.0,4.0
05_Antioquia,138_Cañasgordas,Centro poblado,329.0,204.0,57.0,34.0,2.0,30.0,2.0,0.0
05_Antioquia,138_Cañasgordas,Rural disperso,2393.0,67.0,1060.0,732.0,60.0,318.0,155.0,1.0
05_Antioquia,142_Caracolí,Total municipal,1483.0,566.0,214.0,78.0,1.0,599.0,23.0,2.0
05_Antioquia,142_Caracolí,Cabecera,943.0,561.0,79.0,14.0,1.0,286.0,0.0,2.0
05_Antioquia,142_Caracolí,Rural disperso,540.0,5.0,135.0,64.0,0.0,313.0,23.0,0.0
05_Antioquia,145_Caramanta,Total municipal,1506.0,1017.0,228.0,109.0,3.0,138.0,3.0,8.0
05_Antioquia,145_Caramanta,Cabecera,734.0,698.0,3.0,6.0,0.0,20.0,1.0,6.0
05_Antioquia,145_Caramanta,Centro poblado,94.0,79.0,4.0,3.0,1.0,7.0,0.0,0.0
05_Antioquia,145_Caramanta,Rural disperso,678.0,240.0,221.0,100.0,2.0,111.0,2.0,2.0
05_Antioquia,147_Carepa,Total municipal,13802.0,11044.0,2090.0,118.0,33.0,206.0,251.0,60.0
05_Antioquia,147_Carepa,Cabecera,9895.0,9247.0,464.0,23.0,11.0,50.0,51.0,49.0
05_Antioquia,147_Carepa,Centro poblado,1886.0,1328.0,444.0,5.0,1.0,88.0,15.0,5.0
05_Antioquia,147_Carepa,Rural disperso,2021.0,469.0,1182.0,90.0,21.0,68.0,185.0,6.0
05_Antioquia,148_El Carmen De Viboral,Total municipal,16436.0,10841.0,5199.0,128.0,27.0,159.0,35.0,47.0
05_Antioquia,148_El Carmen De Viboral,Cabecera,10131.0,9900.0,155.0,3.0,0.0,14.0,17.0,42.0
05_Antioquia,148_El Carmen De Viboral,Centro poblado,398.0,268.0,128.0,0.0,0.0,1.0,0.0,1.0
05_Antioquia,148_El Carmen De Viboral,Rural disperso,5907.0,673.0,4916.0,125.0,27.0,144.0,18.0,4.0
05_Antioquia,150_Carolina,Total municipal,1258.0,938.0,227.0,11.0,4.0,17.0,7.0,54.0
05_Antioquia,150_Carolina,Cabecera,999.0,914.0,18.0,2.0,0.0,7.0,5.0,53.0
05_Antioquia,150_Carolina,Rural disperso,259.0,24.0,209.0,9.0,4.0,10.0,2.0,1.0
05_Antioquia,154_Caucasia,Total municipal,24505.0,19547.0,2340.0,253.0,129.0,1107.0,940.0,189.0
05_Antioquia,154_Caucasia,Cabecera,21500.0,19170.0,1054.0,140.0,41.0,821.0,97.0,177.0
05_Antioquia,154_Caucasia,Centro poblado,1614.0,253.0,710.0,57.0,29.0,220.0,339.0,6.0
05_Antioquia,154_Caucasia,Rural disperso,1391.0,124.0,576.0,56.0,59.0,66.0,504.0,6.0
05_Antioquia,172_Chigorodó,Total municipal,16418.0,13466.0,1502.0,198.0,25.0,384.0,763.0,80.0
05_Antioquia,172_Chigorodó,Cabecera,13960.0,13251.0,218.0,69.0,20.0,246.0,81.0,75.0
05_Antioquia,172_Chigorodó,Centro poblado,355.0,183.0,104.0,5.0,0.0,17.0,44.0,2.0
05_Antioquia,172_Chigorodó,Rural disperso,2103.0,32.0,1180.0,124.0,5.0,121.0,638.0,3.0
05_Antioquia,190_Cisneros,Total municipal,3093.0,1740.0,233.0,161.0,16.0,914.0,13.0,16.0
05_Antioquia,190_Cisneros,Cabecera,2696.0,1737.0,111.0,47.0,10.0,767.0,9.0,15.0
05_Antioquia,190_Cisneros,Rural disperso,397.0,3.0,122.0,114.0,6.0,147.0,4.0,1.0
05_Antioquia,197_Cocorná,Total municipal,5072.0,2181.0,1856.0,628.0,33.0,326.0,28.0,20.0
05_Antioquia,197_Cocorná,Cabecera,2149.0,2086.0,25.0,2.0,0.0,16.0,3.0,17.0
05_Antioquia,197_Cocorná,Centro poblado,166.0,68.0,50.0,2.0,1.0,44.0,1.0,0.0
05_Antioquia,197_Cocorná,Rural disperso,2757.0,27.0,1781.0,624.0,32.0,266.0,24.0,3.0
05_Antioquia,206_Concepción,Total municipal,1379.0,631.0,696.0,30.0,0.0,9.0,4.0,9.0
05_Antioquia,206_Concepción,Cabecera,650.0,612.0,27.0,1.0,0.0,2.0,0.0,8.0
05_Antioquia,206_Concepción,Rural disperso,729.0,19.0,669.0,29.0,0.0,7.0,4.0,1.0
05_Antioquia,209_Concordia,Total municipal,5263.0,2747.0,1205.0,120.0,2.0,1149.0,17.0,23.0
05_Antioquia,209_Concordia,Cabecera,2449.0,2394.0,14.0,9.0,1.0,14.0,4.0,13.0
05_Antioquia,209_Concordia,Centro poblado,224.0,166.0,23.0,6.0,0.0,28.0,0.0,1.0
05_Antioquia,209_Concordia,Rural disperso,2590.0,187.0,1168.0,105.0,1.0,1107.0,13.0,9.0
05_Antioquia,212_Copacabana,Total municipal,24526.0,19810.0,3506.0,147.0,10.0,809.0,39.0,205.0
05_Antioquia,212_Copacabana,Cabecera,19961.0,19066.0,350.0,13.0,2.0,324.0,22.0,184.0
05_Antioquia,212_Copacabana,Centro poblado,308.0,100.0,156.0,2.0,0.0,46.0,2.0,2.0
05_Antioquia,212_Copacabana,Rural disperso,4257.0,644.0,3000.0,132.0,8.0,439.0,15.0,19.0
05_Antioquia,234_Dabeiba,Total municipal,6450.0,2789.0,887.0,517.0,43.0,556.0,1609.0,49.0
05_Antioquia,234_Dabeiba,Cabecera,2821.0,2602.0,58.0,33.0,16.0,53.0,39.0,20.0
05_Antioquia,234_Dabeiba,Centro poblado,229.0,135.0,29.0,17.0,0.0,40.0,8.0,0.0
05_Antioquia,234_Dabeiba,Rural disperso,3400.0,52.0,800.0,467.0,27.0,463.0,1562.0,29.0
05_Antioquia,237_Donmatías,Total municipal,4690.0,3749.0,494.0,387.0,2.0,32.0,2.0,24.0
05_Antioquia,237_Donmatías,Cabecera,3687.0,3640.0,17.0,1.0,0.0,6.0,0.0,23.0
05_Antioquia,237_Donmatías,Centro poblado,101.0,16.0,49.0,31.0,1.0,4.0,0.0,0.0
05_Antioquia,237_Donmatías,Rural disperso,902.0,93.0,428.0,355.0,1.0,22.0,2.0,1.0
05_Antioquia,240_Ebéjico,Total municipal,3805.0,1653.0,1148.0,610.0,5.0,335.0,44.0,10.0
05_Antioquia,240_Ebéjico,Cabecera,731.0,683.0,6.0,5.0,0.0,24.0,5.0,8.0
05_Antioquia,240_Ebéjico,Centro poblado,462.0,439.0,6.0,4.0,0.0,8.0,5.0,0.0
05_Antioquia,240_Ebéjico,Rural disperso,2612.0,531.0,1136.0,601.0,5.0,303.0,34.0,2.0
05_Antioquia,250_El Bagre,Total municipal,12770.0,5964.0,3227.0,381.0,324.0,1195.0,1545.0,134.0
05_Antioquia,250_El Bagre,Cabecera,8032.0,5001.0,1852.0,33.0,200.0,761.0,89.0,96.0
05_Antioquia,250_El Bagre,Centro poblado,2401.0,925.0,717.0,165.0,34.0,304.0,219.0,37.0
05_Antioquia,250_El Bagre,Rural disperso,2337.0,38.0,658.0,183.0,90.0,130.0,1237.0,1.0
05_Antioquia,264_Entrerríos,Total municipal,2755.0,1630.0,719.0,355.0,1.0,42.0,1.0,7.0
05_Antioquia,264_Entrerríos,Cabecera,1656.0,1609.0,16.0,7.0,0.0,17.0,0.0,7.0
05_Antioquia,264_Entrerríos,Rural disperso,1099.0,21.0,703.0,348.0,1.0,25.0,1.0,0.0
05_Antioquia,266_Envigado,Total municipal,73116.0,70076.0,2097.0,28.0,3.0,277.0,22.0,613.0
05_Antioquia,266_Envigado,Cabecera,69928.0,68990.0,256.0,9.0,1.0,61.0,17.0,594.0
05_Antioquia,266_Envigado,Centro poblado,535.0,228.0,289.0,4.0,0.0,11.0,0.0,3.0
05_Antioquia,266_Envigado,Rural disperso,2653.0,858.0,1552.0,15.0,2.0,205.0,5.0,16.0
05_Antioquia,282_Fredonia,Total municipal,6578.0,3048.0,2493.0,393.0,14.0,575.0,35.0,20.0
05_Antioquia,282_Fredonia,Cabecera,2696.0,2560.0,68.0,12.0,0.0,36.0,5.0,15.0
05_Antioquia,282_Fredonia,Centro poblado,383.0,212.0,53.0,62.0,1.0,54.0,0.0,1.0
05_Antioquia,282_Fredonia,Rural disperso,3499.0,276.0,2372.0,319.0,13.0,485.0,30.0,4.0
05_Antioquia,284_Frontino,Total municipal,5897.0,2967.0,450.0,362.0,3.0,1180.0,884.0,51.0
05_Antioquia,284_Frontino,Cabecera,2737.0,2647.0,29.0,7.0,1.0,28.0,11.0,14.0
05_Antioquia,284_Frontino,Centro poblado,469.0,217.0,27.0,38.0,1.0,167.0,17.0,2.0
05_Antioquia,284_Frontino,Rural disperso,2691.0,103.0,394.0,317.0,1.0,985.0,856.0,35.0
05_Antioquia,306_Giraldo,Total municipal,1551.0,670.0,383.0,367.0,1.0,109.0,15.0,6.0
05_Antioquia,306_Giraldo,Cabecera,583.0,512.0,13.0,7.0,0.0,43.0,4.0,4.0
05_Antioquia,306_Giraldo,Centro poblado,89.0,62.0,6.0,1.0,0.0,16.0,2.0,2.0
05_Antioquia,306_Giraldo,Rural disperso,879.0,96.0,364.0,359.0,1.0,50.0,9.0,0.0
05_Antioquia,308_Girardota,Total municipal,15096.0,10419.0,3659.0,514.0,22.0,359.0,33.0,90.0
05_Antioquia,308_Girardota,Cabecera,8691.0,8531.0,57.0,4.0,1.0,18.0,6.0,74.0
05_Antioquia,308_Girardota,Centro poblado,1941.0,1297.0,535.0,39.0,1.0,52.0,11.0,6.0
05_Antioquia,308_Girardota,Rural disperso,4464.0,591.0,3067.0,471.0,20.0,289.0,16.0,10.0
05_Antioquia,310_Gómez Plata,Total municipal,2968.0,1742.0,614.0,155.0,8.0,404.0,36.0,9.0
05_Antioquia,310_Gómez Plata,Cabecera,1595.0,1522.0,25.0,4.0,0.0,34.0,2.0,8.0
05_Antioquia,310_Gómez Plata,Centro poblado,182.0,121.0,44.0,2.0,0.0,13.0,2.0,0.0
05_Antioquia,310_Gómez Plata,Rural disperso,1191.0,99.0,545.0,149.0,8.0,357.0,32.0,1.0
05_Antioquia,313_Granada,Total municipal,3221.0,1859.0,830.0,360.0,2.0,44.0,78.0,48.0
05_Antioquia,313_Granada,Cabecera,1891.0,1750.0,10.0,0.0,0.0,11.0,72.0,48.0
05_Antioquia,313_Granada,Centro poblado,70.0,45.0,18.0,5.0,0.0,2.0,0.0,0.0
05_Antioquia,313_Granada,Rural disperso,1260.0,64.0,802.0,355.0,2.0,31.0,6.0,0.0
05_Antioquia,315_Guadalupe,Total municipal,1744.0,706.0,467.0,206.0,3.0,335.0,12.0,15.0
05_Antioquia,315_Guadalupe,Cabecera,718.0,678.0,18.0,3.0,0.0,3.0,1.0,15.0
05_Antioquia,315_Guadalupe,Centro poblado,122.0,4.0,70.0,16.0,0.0,32.0,0.0,0.0
05_Antioquia,315_Guadalupe,Rural disperso,904.0,24.0,379.0,187.0,3.0,300.0,11.0,0.0
05_Antioquia,318_Guarne,Total municipal,13067.0,5725.0,6481.0,420.0,33.0,262.0,69.0,77.0
05_Antioquia,318_Guarne,Cabecera,5411.0,5280.0,62.0,8.0,0.0,6.0,2.0,53.0
05_Antioquia,318_Guarne,Centro poblado,323.0,113.0,182.0,2.0,0.0,23.0,2.0,1.0
05_Antioquia,318_Guarne,Rural disperso,7333.0,332.0,6237.0,410.0,33.0,233.0,65.0,23.0
05_Antioquia,321_Guatapé,Total municipal,2435.0,1915.0,481.0,2.0,0.0,21.0,1.0,15.0
05_Antioquia,321_Guatapé,Cabecera,1778.0,1747.0,14.0,2.0,0.0,2.0,1.0,12.0
05_Antioquia,321_Guatapé,Centro poblado,163.0,138.0,17.0,0.0,0.0,6.0,0.0,2.0
05_Antioquia,321_Guatapé,Rural disperso,494.0,30.0,450.0,0.0,0.0,13.0,0.0,1.0
05_Antioquia,347_Heliconia,Total municipal,1661.0,964.0,190.0,372.0,0.0,123.0,8.0,4.0
05_Antioquia,347_Heliconia,Cabecera,756.0,621.0,13.0,13.0,0.0,100.0,5.0,4.0
05_Antioquia,347_Heliconia,Centro poblado,244.0,198.0,25.0,7.0,0.0,14.0,0.0,0.0
05_Antioquia,347_Heliconia,Rural disperso,661.0,145.0,152.0,352.0,0.0,9.0,3.0,0.0
05_Antioquia,353_Hispania,Total municipal,1690.0,1172.0,248.0,55.0,1.0,204.0,4.0,6.0
05_Antioquia,353_Hispania,Cabecera,1199.0,1168.0,11.0,9.0,0.0,4.0,1.0,6.0
05_Antioquia,353_Hispania,Rural disperso,491.0,4.0,237.0,46.0,1.0,200.0,3.0,0.0
05_Antioquia,360_Itagüí,Total municipal,82827.0,81163.0,391.0,74.0,12.0,567.0,71.0,549.0
05_Antioquia,360_Itagüí,Cabecera,74624.0,73548.0,296.0,28.0,11.0,183.0,43.0,515.0
05_Antioquia,360_Itagüí,Centro poblado,6847.0,6367.0,63.0,39.0,0.0,340.0,20.0,18.0
05_Antioquia,360_Itagüí,Rural disperso,1356.0,1248.0,32.0,7.0,1.0,44.0,8.0,16.0
05_Antioquia,361_Ituango,Total municipal,5550.0,2440.0,920.0,757.0,41.0,497.0,885.0,10.0
05_Antioquia,361_Ituango,Cabecera,2053.0,1943.0,39.0,23.0,1.0,31.0,9.0,7.0
05_Antioquia,361_Ituango,Centro poblado,586.0,369.0,98.0,45.0,1.0,52.0,20.0,1.0
05_Antioquia,361_Ituango,Rural disperso,2911.0,128.0,783.0,689.0,39.0,414.0,856.0,2.0
05_Antioquia,364_Jardín,Total municipal,4282.0,2467.0,1139.0,191.0,6.0,441.0,38.0,0.0
05_Antioquia,364_Jardín,Cabecera,2461.0,2427.0,21.0,3.0,0.0,10.0,0.0,0.0
05_Antioquia,364_Jardín,Centro poblado,87.0,8.0,44.0,12.0,0.0,22.0,1.0,0.0
05_Antioquia,364_Jardín,Rural disperso,1734.0,32.0,1074.0,176.0,6.0,409.0,37.0,0.0
05_Antioquia,368_Jericó,Total municipal,3797.0,2505.0,1045.0,85.0,42.0,78.0,18.0,24.0
05_Antioquia,368_Jericó,Cabecera,2480.0,2419.0,21.0,5.0,0.0,5.0,8.0,22.0
05_Antioquia,368_Jericó,Centro poblado,85.0,18.0,65.0,1.0,0.0,0.0,0.0,1.0
05_Antioquia,368_Jericó,Rural disperso,1232.0,68.0,959.0,79.0,42.0,73.0,10.0,1.0
05_Antioquia,376_La Ceja,Total municipal,17471.0,15398.0,1691.0,79.0,1.0,157.0,8.0,137.0
